freq (Hz)	real	complex
0.000000E+0	4.877557E+3	0.000000E+0
2.500000E-1	4.158810E+3	-1.762931E+3
5.000000E-1	2.682777E+3	-2.438258E+3
7.500000E-1	1.563674E+3	-2.155536E+3
1.000000E+0	1.043398E+3	-1.722004E+3
1.250000E+0	6.928887E+2	-1.431786E+3
1.500000E+0	3.730237E+2	-1.076438E+3
1.750000E+0	2.600947E+2	-6.774752E+2
2.000000E+0	2.674941E+2	-4.540915E+2
2.250000E+0	1.579451E+2	-3.171703E+2
2.500000E+0	2.848284E+1	-4.406287E+1
2.750000E+0	9.485104E+1	2.364789E+2
3.000000E+0	1.976674E+2	2.882799E+2
3.250000E+0	6.645475E+1	2.799263E+2
3.500000E+0	-1.402832E+2	5.127594E+2
3.750000E+0	-9.836829E+1	8.491324E+2
4.000000E+0	8.356842E+1	9.505595E+2
4.250000E+0	6.579300E+1	8.910958E+2
4.500000E+0	-1.090047E+2	9.959117E+2
4.750000E+0	-1.402714E+2	1.241292E+3
5.000000E+0	-4.661034E+1	1.351087E+3
5.250000E+0	-8.650865E+1	1.347231E+3
5.500000E+0	-2.322239E+2	1.478049E+3
5.750000E+0	-2.397135E+2	1.711094E+3
6.000000E+0	-1.426854E+2	1.802805E+3
6.250000E+0	-1.847647E+2	1.783403E+3
6.500000E+0	-3.425399E+2	1.893340E+3
6.750000E+0	-3.833372E+2	2.115184E+3
7.000000E+0	-3.231541E+2	2.225924E+3
7.250000E+0	-3.783984E+2	2.244610E+3
7.500000E+0	-5.268282E+2	2.387459E+3
7.750000E+0	-5.471049E+2	2.635150E+3
8.000000E+0	-4.451699E+2	2.762012E+3
8.250000E+0	-4.414311E+2	2.751226E+3
8.500000E+0	-5.771585E+2	2.801522E+3
8.750000E+0	-6.919261E+2	2.968819E+3
9.000000E+0	-7.346209E+2	3.139999E+3
9.250000E+0	-7.743289E+2	3.291211E+3
9.500000E+0	-7.900814E+2	3.462414E+3
9.750000E+0	-7.497754E+2	3.580838E+3
1.000000E+1	-7.732290E+2	3.602196E+3
1.025000E+1	-9.292447E+2	3.681065E+3
1.050000E+1	-1.040820E+3	3.914023E+3
1.075000E+1	-9.844987E+2	4.108662E+3
1.100000E+1	-9.649833E+2	4.112980E+3
1.125000E+1	-1.168736E+3	4.138207E+3
1.150000E+1	-1.391170E+3	4.409933E+3
1.175000E+1	-1.371831E+3	4.748344E+3
1.200000E+1	-1.251093E+3	4.874287E+3
1.225000E+1	-1.303476E+3	4.885949E+3
1.250000E+1	-1.461216E+3	5.032812E+3
1.275000E+1	-1.507893E+3	5.257199E+3
1.300000E+1	-1.508307E+3	5.369463E+3
1.325000E+1	-1.637663E+3	5.446422E+3
1.350000E+1	-1.813204E+3	5.654633E+3
1.375000E+1	-1.883715E+3	5.911199E+3
1.400000E+1	-1.937908E+3	6.093502E+3
1.425000E+1	-2.062287E+3	6.314976E+3
1.450000E+1	-2.094456E+3	6.633142E+3
1.475000E+1	-1.983249E+3	6.818349E+3
1.500000E+1	-2.028789E+3	6.793959E+3
1.525000E+1	-2.363298E+3	6.914977E+3
1.550000E+1	-2.607057E+3	7.385829E+3
1.575000E+1	-2.486650E+3	7.835198E+3
1.600000E+1	-2.341688E+3	7.940315E+3
1.625000E+1	-2.518621E+3	8.002024E+3
1.650000E+1	-2.747893E+3	8.369353E+3
1.675000E+1	-2.687725E+3	8.788889E+3
1.700000E+1	-2.588667E+3	8.923374E+3
1.725000E+1	-2.792530E+3	9.023139E+3
1.750000E+1	-3.057887E+3	9.437633E+3
1.775000E+1	-3.038812E+3	9.943062E+3
1.800000E+1	-2.946689E+3	1.021631E+4
1.825000E+1	-3.070012E+3	1.047722E+4
1.850000E+1	-3.155620E+3	1.098408E+4
1.875000E+1	-2.958734E+3	1.143215E+4
1.900000E+1	-2.845367E+3	1.156637E+4
1.925000E+1	-3.111876E+3	1.181162E+4
1.950000E+1	-3.300123E+3	1.253669E+4
1.975000E+1	-2.961525E+3	1.330035E+4
2.000000E+1	-2.472683E+3	1.361073E+4
2.025000E+1	-2.302880E+3	1.377329E+4
2.050000E+1	-2.174318E+3	1.418380E+4
2.075000E+1	-1.770716E+3	1.453219E+4
2.100000E+1	-1.472506E+3	1.455663E+4
2.125000E+1	-1.508688E+3	1.472167E+4
2.150000E+1	-1.314751E+3	1.523070E+4
2.175000E+1	-7.001734E+2	1.538500E+4
2.200000E+1	-5.392744E+2	1.496668E+4
2.225000E+1	-1.149315E+3	1.505159E+4
2.250000E+1	-1.262219E+3	1.615225E+4
2.275000E+1	-6.839758E+1	1.687246E+4
2.300000E+1	1.037539E+3	1.603653E+4
2.325000E+1	5.274803E+2	1.486822E+4
2.350000E+1	-6.880511E+2	1.513352E+4
2.375000E+1	-7.797515E+2	1.628895E+4
2.400000E+1	3.091275E+1	1.660792E+4
2.425000E+1	2.326121E+2	1.610113E+4
2.450000E+1	-2.322607E+2	1.601988E+4
2.475000E+1	-3.403942E+2	1.634717E+4
2.500000E+1	-2.784054E+2	1.618160E+4
2.525000E+1	-9.546135E+2	1.587834E+4
2.550000E+1	-1.927224E+3	1.641724E+4
2.575000E+1	-2.183293E+3	1.733891E+4
2.600000E+1	-2.231426E+3	1.767179E+4
2.625000E+1	-3.007324E+3	1.809051E+4
2.650000E+1	-3.579436E+3	1.963035E+4
2.675000E+1	-2.610586E+3	2.114417E+4
2.700000E+1	-1.269518E+3	2.084468E+4
2.725000E+1	-1.788026E+3	1.964499E+4
2.750000E+1	-3.748137E+3	2.002960E+4
2.775000E+1	-4.733657E+3	2.215313E+4
2.800000E+1	-4.161920E+3	2.397710E+4
2.825000E+1	-3.550418E+3	2.479321E+4
2.850000E+1	-3.436588E+3	2.567735E+4
2.875000E+1	-2.970271E+3	2.684872E+4
2.900000E+1	-2.228798E+3	2.747846E+4
2.925000E+1	-2.125005E+3	2.783371E+4
2.950000E+1	-2.304782E+3	2.892486E+4
2.975000E+1	-1.693350E+3	3.037538E+4
3.000000E+1	-6.635641E+2	3.109571E+4
3.025000E+1	-2.718689E+2	3.146582E+4
3.050000E+1	-9.144516E+1	3.248503E+4
3.075000E+1	8.338888E+2	3.363691E+4
3.100000E+1	1.881794E+3	3.396820E+4
3.125000E+1	2.064676E+3	3.418776E+4
3.150000E+1	2.137198E+3	3.532773E+4
3.175000E+1	3.152183E+3	3.662487E+4
3.200000E+1	4.348757E+3	3.705259E+4
3.225000E+1	4.771974E+3	3.739443E+4
3.250000E+1	5.277509E+3	3.851387E+4
3.275000E+1	6.649731E+3	3.943382E+4
3.300000E+1	7.758166E+3	3.941623E+4
3.325000E+1	7.872236E+3	3.975625E+4
3.350000E+1	8.443092E+3	4.121176E+4
3.375000E+1	1.027225E+4	4.219934E+4
3.400000E+1	1.165960E+4	4.188664E+4
3.425000E+1	1.176250E+4	4.211514E+4
3.450000E+1	1.262363E+4	4.376388E+4
3.475000E+1	1.526009E+4	4.456113E+4
3.500000E+1	1.725085E+4	4.322992E+4
3.525000E+1	1.703041E+4	4.216109E+4
3.550000E+1	1.679264E+4	4.307853E+4
3.575000E+1	1.818850E+4	4.401087E+4
3.600000E+1	1.932202E+4	4.357241E+4
3.625000E+1	1.912029E+4	4.381445E+4
3.650000E+1	1.997896E+4	4.558841E+4
3.675000E+1	2.266875E+4	4.606642E+4
3.700000E+1	2.391028E+4	4.444860E+4
3.725000E+1	2.280534E+4	4.448129E+4
3.750000E+1	2.360315E+4	4.722652E+4
3.775000E+1	2.760415E+4	4.789391E+4
3.800000E+1	2.942149E+4	4.489189E+4
3.825000E+1	2.712319E+4	4.437166E+4
3.850000E+1	2.797732E+4	4.883629E+4
3.875000E+1	3.575798E+4	4.954288E+4
3.900000E+1	4.039895E+4	4.021468E+4
3.925000E+1	3.185541E+4	3.105264E+4
3.950000E+1	1.828881E+4	3.622869E+4
3.975000E+1	1.676047E+4	5.187290E+4
4.000000E+1	2.875603E+4	6.059269E+4
4.025000E+1	3.921076E+4	5.632075E+4
4.050000E+1	3.957750E+4	5.032061E+4
4.075000E+1	3.744687E+4	5.142207E+4
4.100000E+1	4.061755E+4	5.456765E+4
4.125000E+1	4.533746E+4	5.326788E+4
4.150000E+1	4.612348E+4	5.073981E+4
4.175000E+1	4.595531E+4	5.184684E+4
4.200000E+1	4.932140E+4	5.379153E+4
4.225000E+1	5.359704E+4	5.234797E+4
4.250000E+1	5.473999E+4	4.999970E+4
4.275000E+1	5.509423E+4	5.071680E+4
4.300000E+1	5.864552E+4	5.240543E+4
4.325000E+1	6.372679E+4	5.114518E+4
4.350000E+1	6.675878E+4	4.814984E+4
4.375000E+1	6.878086E+4	4.642380E+4
4.400000E+1	7.232563E+4	4.469071E+4
4.425000E+1	7.572178E+4	4.048031E+4
4.450000E+1	7.623541E+4	3.561785E+4
4.475000E+1	7.551343E+4	3.304586E+4
4.500000E+1	7.644780E+4	3.133028E+4
4.525000E+1	7.759374E+4	2.767002E+4
4.550000E+1	7.597237E+4	2.357716E+4
4.575000E+1	7.282292E+4	2.238083E+4
4.600000E+1	7.150706E+4	2.351625E+4
4.625000E+1	7.204517E+4	2.422802E+4
4.650000E+1	7.262428E+4	2.459576E+4
4.675000E+1	7.418257E+4	2.587489E+4
4.700000E+1	7.829114E+4	2.607286E+4
4.725000E+1	8.241528E+4	2.257604E+4
4.750000E+1	8.275191E+4	1.763806E+4
4.775000E+1	8.062725E+4	1.586815E+4
4.800000E+1	8.084653E+4	1.712978E+4
4.825000E+1	8.436851E+4	1.702346E+4
4.850000E+1	8.765124E+4	1.389186E+4
4.875000E+1	8.894591E+4	1.029537E+4
4.900000E+1	9.016757E+4	7.538786E+3
4.925000E+1	9.209241E+4	3.731159E+3
4.950000E+1	9.244138E+4	-1.833613E+3
4.975000E+1	8.998258E+4	-6.673645E+3
5.000000E+1	8.676516E+4	-8.875286E+3
5.025000E+1	8.492282E+4	-9.548395E+3
5.050000E+1	8.422101E+4	-1.036396E+4
5.075000E+1	8.380629E+4	-1.143671E+4
5.100000E+1	8.372377E+4	-1.259290E+4
5.125000E+1	8.380196E+4	-1.420455E+4
5.150000E+1	8.341238E+4	-1.593436E+4
5.175000E+1	8.305470E+4	-1.690273E+4
5.200000E+1	8.400236E+4	-1.769011E+4
5.225000E+1	8.589201E+4	-2.001837E+4
5.250000E+1	8.681493E+4	-2.404306E+4
5.275000E+1	8.612705E+4	-2.812029E+4
5.300000E+1	8.496196E+4	-3.151603E+4
5.325000E+1	8.372870E+4	-3.504029E+4
5.350000E+1	8.152391E+4	-3.870789E+4
5.375000E+1	7.845655E+4	-4.126072E+4
5.400000E+1	7.609360E+4	-4.261713E+4
5.425000E+1	7.485455E+4	-4.444913E+4
5.450000E+1	7.315749E+4	-4.752077E+4
5.475000E+1	6.995692E+4	-5.051352E+4
5.500000E+1	6.615811E+4	-5.226735E+4
5.525000E+1	6.276213E+4	-5.326621E+4
5.550000E+1	5.949152E+4	-5.414171E+4
5.575000E+1	5.604748E+4	-5.453005E+4
5.600000E+1	5.300211E+4	-5.423423E+4
5.625000E+1	5.063389E+4	-5.392550E+4
5.650000E+1	4.833975E+4	-5.395827E+4
5.675000E+1	4.580365E+4	-5.386140E+4
5.700000E+1	4.339677E+4	-5.345303E+4
5.725000E+1	4.110621E+4	-5.306428E+4
5.750000E+1	3.854721E+4	-5.243961E+4
5.775000E+1	3.620523E+4	-5.099466E+4
5.800000E+1	3.499030E+4	-4.931698E+4
5.825000E+1	3.440050E+4	-4.864895E+4
5.850000E+1	3.296819E+4	-4.870405E+4
5.875000E+1	3.073433E+4	-4.791501E+4
5.900000E+1	2.927870E+4	-4.609679E+4
5.925000E+1	2.898050E+4	-4.477778E+4
5.950000E+1	2.840965E+4	-4.447689E+4
5.975000E+1	2.697317E+4	-4.386264E+4
6.000000E+1	2.594366E+4	-4.229077E+4
6.025000E+1	2.605091E+4	-4.098568E+4
6.050000E+1	2.617945E+4	-4.078406E+4
6.075000E+1	2.544869E+4	-4.075667E+4
6.100000E+1	2.460031E+4	-4.010486E+4
6.125000E+1	2.425340E+4	-3.948206E+4
6.150000E+1	2.370045E+4	-3.932338E+4
6.175000E+1	2.260466E+4	-3.875558E+4
6.200000E+1	2.204293E+4	-3.740570E+4
6.225000E+1	2.255714E+4	-3.650523E+4
6.250000E+1	2.288203E+4	-3.684288E+4
6.275000E+1	2.199552E+4	-3.726054E+4
6.300000E+1	2.085487E+4	-3.659477E+4
6.325000E+1	2.065361E+4	-3.558951E+4
6.350000E+1	2.081600E+4	-3.539647E+4
6.375000E+1	2.025107E+4	-3.555813E+4
6.400000E+1	1.931857E+4	-3.503998E+4
6.425000E+1	1.898607E+4	-3.410109E+4
6.450000E+1	1.908928E+4	-3.360492E+4
