freq (Hz)	magnitude
0.000000E+0	9.571362E-1
2.500000E-1	9.606332E-1
5.000000E-1	9.669423E-1
7.500000E-1	9.521185E-1
1.000000E+0	8.899958E-1
1.250000E+0	8.585236E-1
1.500000E+0	8.591495E-1
1.750000E+0	6.487903E-1
2.000000E+0	1.422038E-1
2.250000E+0	6.065656E-2
2.500000E+0	2.342980E-1
2.750000E+0	5.687488E-1
3.000000E+0	7.126246E-1
3.250000E+0	6.441145E-1
3.500000E+0	6.740455E-1
3.750000E+0	8.055837E-1
4.000000E+0	8.922749E-1
4.250000E+0	9.035916E-1
4.500000E+0	8.872906E-1
4.750000E+0	8.998092E-1
5.000000E+0	9.165601E-1
5.250000E+0	9.115885E-1
5.500000E+0	9.072646E-1
5.750000E+0	9.247470E-1
6.000000E+0	9.429375E-1
6.250000E+0	9.440136E-1
6.500000E+0	9.351874E-1
6.750000E+0	9.358898E-1
7.000000E+0	9.411957E-1
7.250000E+0	9.388207E-1
7.500000E+0	9.370773E-1
7.750000E+0	9.469243E-1
8.000000E+0	9.577976E-1
8.250000E+0	9.571459E-1
8.500000E+0	9.522190E-1
8.750000E+0	9.565592E-1
9.000000E+0	9.615629E-1
9.250000E+0	9.529757E-1
9.500000E+0	9.401966E-1
9.750000E+0	9.430221E-1
1.000000E+1	9.563842E-1
1.025000E+1	9.613719E-1
1.050000E+1	9.562049E-1
1.075000E+1	9.539371E-1
1.100000E+1	9.570311E-1
1.125000E+1	9.557433E-1
1.150000E+1	9.513842E-1
1.175000E+1	9.548963E-1
1.200000E+1	9.630094E-1
1.225000E+1	9.613589E-1
1.250000E+1	9.506544E-1
1.275000E+1	9.474798E-1
1.300000E+1	9.559962E-1
1.325000E+1	9.621360E-1
1.350000E+1	9.594985E-1
1.375000E+1	9.572811E-1
1.400000E+1	9.607536E-1
1.425000E+1	9.629391E-1
1.450000E+1	9.606809E-1
1.475000E+1	9.598961E-1
1.500000E+1	9.614910E-1
1.525000E+1	9.599134E-1
1.550000E+1	9.570300E-1
1.575000E+1	9.603539E-1
1.600000E+1	9.663186E-1
1.625000E+1	9.640618E-1
1.650000E+1	9.560229E-1
1.675000E+1	9.552279E-1
1.700000E+1	9.617328E-1
1.725000E+1	9.628524E-1
1.750000E+1	9.575916E-1
1.775000E+1	9.592464E-1
1.800000E+1	9.678252E-1
1.825000E+1	9.683868E-1
1.850000E+1	9.582208E-1
1.875000E+1	9.534916E-1
1.900000E+1	9.622398E-1
1.925000E+1	9.703745E-1
1.950000E+1	9.659162E-1
1.975000E+1	9.590007E-1
2.000000E+1	9.607551E-1
2.025000E+1	9.635634E-1
2.050000E+1	9.599876E-1
2.075000E+1	9.571415E-1
2.100000E+1	9.633088E-1
2.125000E+1	9.665246E-1
2.150000E+1	9.567456E-1
2.175000E+1	9.444458E-1
2.200000E+1	9.448388E-1
2.225000E+1	9.543575E-1
2.250000E+1	9.513179E-1
2.275000E+1	9.287329E-1
2.300000E+1	8.989000E-1
2.325000E+1	8.733660E-1
2.350000E+1	8.638058E-1
2.375000E+1	8.824170E-1
2.400000E+1	9.215168E-1
2.425000E+1	9.538974E-1
2.450000E+1	9.526101E-1
2.475000E+1	9.309113E-1
2.500000E+1	9.297026E-1
2.525000E+1	9.480008E-1
2.550000E+1	9.631820E-1
2.575000E+1	9.662596E-1
2.600000E+1	9.666214E-1
2.625000E+1	9.668696E-1
2.650000E+1	9.583843E-1
2.675000E+1	9.456880E-1
2.700000E+1	9.470209E-1
2.725000E+1	9.623833E-1
2.750000E+1	9.724921E-1
2.775000E+1	9.707203E-1
2.800000E+1	9.676046E-1
2.825000E+1	9.697185E-1
2.850000E+1	9.712404E-1
2.875000E+1	9.690589E-1
2.900000E+1	9.688134E-1
2.925000E+1	9.717439E-1
2.950000E+1	9.719475E-1
2.975000E+1	9.690387E-1
3.000000E+1	9.694857E-1
3.025000E+1	9.731939E-1
3.050000E+1	9.739421E-1
3.075000E+1	9.718971E-1
3.100000E+1	9.735682E-1
3.125000E+1	9.778219E-1
3.150000E+1	9.777893E-1
3.175000E+1	9.744523E-1
3.200000E+1	9.756648E-1
3.225000E+1	9.806817E-1
3.250000E+1	9.815486E-1
3.275000E+1	9.784767E-1
3.300000E+1	9.797081E-1
3.325000E+1	9.849700E-1
3.350000E+1	9.857963E-1
3.375000E+1	9.818300E-1
3.400000E+1	9.821962E-1
3.425000E+1	9.876920E-1
3.450000E+1	9.893667E-1
3.475000E+1	9.853809E-1
3.500000E+1	9.847255E-1
3.525000E+1	9.894510E-1
3.550000E+1	9.907660E-1
3.575000E+1	9.856879E-1
3.600000E+1	9.849774E-1
3.625000E+1	9.915197E-1
3.650000E+1	9.939769E-1
3.675000E+1	9.873474E-1
3.700000E+1	9.837885E-1
3.725000E+1	9.903985E-1
3.750000E+1	9.953690E-1
3.775000E+1	9.884160E-1
3.800000E+1	9.811722E-1
3.825000E+1	9.880789E-1
3.850000E+1	9.971678E-1
3.875000E+1	9.804956E-1
3.900000E+1	9.403051E-1
3.925000E+1	9.067579E-1
3.950000E+1	8.909078E-1
3.975000E+1	8.973424E-1
4.000000E+1	9.335279E-1
4.025000E+1	9.772098E-1
4.050000E+1	9.966653E-1
4.075000E+1	9.955308E-1
4.100000E+1	9.896595E-1
4.125000E+1	9.900386E-1
4.150000E+1	9.931515E-1
4.175000E+1	9.920681E-1
4.200000E+1	9.890458E-1
4.225000E+1	9.904626E-1
4.250000E+1	9.954937E-1
4.275000E+1	9.972153E-1
4.300000E+1	9.937450E-1
4.325000E+1	9.904344E-1
4.350000E+1	9.910819E-1
4.375000E+1	9.932632E-1
4.400000E+1	9.936668E-1
4.425000E+1	9.925186E-1
4.450000E+1	9.917433E-1
4.475000E+1	9.917212E-1
4.500000E+1	9.920468E-1
4.525000E+1	9.923469E-1
4.550000E+1	9.915990E-1
4.575000E+1	9.895095E-1
4.600000E+1	9.880980E-1
4.625000E+1	9.894507E-1
4.650000E+1	9.896822E-1
4.675000E+1	9.834101E-1
4.700000E+1	9.729573E-1
4.725000E+1	9.668270E-1
4.750000E+1	9.719779E-1
4.775000E+1	9.822629E-1
4.800000E+1	9.883425E-1
4.825000E+1	9.899304E-1
4.850000E+1	9.905514E-1
4.875000E+1	9.909890E-1
4.900000E+1	9.901482E-1
4.925000E+1	9.893072E-1
4.950000E+1	9.908003E-1
4.975000E+1	9.935290E-1
5.000000E+1	9.936797E-1
5.025000E+1	9.905650E-1
5.050000E+1	9.874040E-1
5.075000E+1	9.867831E-1
5.100000E+1	9.879052E-1
5.125000E+1	9.887459E-1
5.150000E+1	9.886236E-1
5.175000E+1	9.879377E-1
5.200000E+1	9.874905E-1
5.225000E+1	9.881889E-1
5.250000E+1	9.897235E-1
5.275000E+1	9.901374E-1
5.300000E+1	9.882517E-1
5.325000E+1	9.857901E-1
5.350000E+1	9.855415E-1
5.375000E+1	9.872020E-1
5.400000E+1	9.879492E-1
5.425000E+1	9.871343E-1
5.450000E+1	9.866181E-1
5.475000E+1	9.868330E-1
5.500000E+1	9.860089E-1
5.525000E+1	9.841682E-1
5.550000E+1	9.841005E-1
5.575000E+1	9.865650E-1
5.600000E+1	9.879674E-1
5.625000E+1	9.861943E-1
5.650000E+1	9.842757E-1
5.675000E+1	9.856699E-1
5.700000E+1	9.881337E-1
5.725000E+1	9.876943E-1
5.750000E+1	9.856932E-1
5.775000E+1	9.860686E-1
5.800000E+1	9.874077E-1
5.825000E+1	9.847396E-1
5.850000E+1	9.786502E-1
5.875000E+1	9.757237E-1
5.900000E+1	9.796439E-1
5.925000E+1	9.849151E-1
5.950000E+1	9.863622E-1
5.975000E+1	9.856870E-1
6.000000E+1	9.864494E-1
6.025000E+1	9.885808E-1
6.050000E+1	9.897093E-1
6.075000E+1	9.894520E-1
6.100000E+1	9.889805E-1
6.125000E+1	9.886330E-1
6.150000E+1	9.882007E-1
6.175000E+1	9.877549E-1
6.200000E+1	9.870057E-1
6.225000E+1	9.858376E-1
6.250000E+1	9.858418E-1
6.275000E+1	9.886340E-1
6.300000E+1	9.922026E-1
6.325000E+1	9.923387E-1
6.350000E+1	9.891089E-1
6.375000E+1	9.867433E-1
6.400000E+1	9.874129E-1
6.425000E+1	9.885548E-1
6.450000E+1	9.879855E-1
6.475000E+1	9.876653E-1
6.500000E+1	9.892422E-1
6.525000E+1	9.904474E-1
6.550000E+1	9.893421E-1
6.575000E+1	9.880863E-1
6.600000E+1	9.889049E-1
6.625000E+1	9.898490E-1
6.650000E+1	9.884754E-1
6.675000E+1	9.869504E-1
6.700000E+1	9.884372E-1
6.725000E+1	9.915542E-1
6.750000E+1	9.923271E-1
6.775000E+1	9.906703E-1
6.800000E+1	9.899040E-1
6.825000E+1	9.909628E-1
6.850000E+1	9.915733E-1
6.875000E+1	9.908397E-1
6.900000E+1	9.906427E-1
6.925000E+1	9.919497E-1
6.950000E+1	9.931934E-1
6.975000E+1	9.930282E-1
7.000000E+1	9.922601E-1
