freq (Hz)	real	complex
0.000000E+0	5.602620E+3	0.000000E+0
2.500000E-1	4.690342E+3	-2.241149E+3
5.000000E-1	2.842385E+3	-3.106681E+3
7.500000E-1	1.452833E+3	-2.834599E+3
1.000000E+0	6.856377E+2	-2.443949E+3
1.250000E+0	-6.541577E+1	-2.091156E+3
1.500000E+0	-7.203152E+2	-1.325803E+3
1.750000E+0	-7.155409E+2	-4.017364E+2
2.000000E+0	-2.793552E+2	-7.471315E+1
2.250000E+0	-2.736693E+2	-2.783866E+2
2.500000E+0	-8.097644E+2	-1.577363E+2
2.750000E+0	-1.100413E+3	5.363204E+2
3.000000E+0	-7.940491E+2	1.109413E+3
3.250000E+0	-4.709610E+2	1.139526E+3
3.500000E+0	-5.775130E+2	1.082076E+3
3.750000E+0	-7.641935E+2	1.360039E+3
4.000000E+0	-6.539972E+2	1.688666E+3
4.250000E+0	-5.028695E+2	1.729290E+3
4.500000E+0	-6.311272E+2	1.724579E+3
4.750000E+0	-8.094747E+2	1.993182E+3
5.000000E+0	-7.105200E+2	2.327435E+3
5.250000E+0	-5.050891E+2	2.389147E+3
5.500000E+0	-5.282048E+2	2.295827E+3
5.750000E+0	-7.162902E+2	2.349339E+3
6.000000E+0	-8.262739E+2	2.511576E+3
6.250000E+0	-9.151591E+2	2.591324E+3
6.500000E+0	-1.166105E+3	2.687183E+3
6.750000E+0	-1.465038E+3	3.019735E+3
7.000000E+0	-1.554328E+3	3.515282E+3
7.250000E+0	-1.439414E+3	3.933274E+3
7.500000E+0	-1.288586E+3	4.250319E+3
7.750000E+0	-1.078397E+3	4.573430E+3
8.000000E+0	-6.808285E+2	4.803471E+3
8.250000E+0	-2.030422E+2	4.716578E+3
8.500000E+0	5.868343E+1	4.312684E+3
8.750000E+0	-5.341515E+1	3.834660E+3
9.000000E+0	-4.782246E+2	3.517424E+3
9.250000E+0	-1.064779E+3	3.499043E+3
9.500000E+0	-1.589805E+3	3.831190E+3
9.750000E+0	-1.806292E+3	4.363289E+3
1.000000E+1	-1.701406E+3	4.763862E+3
1.025000E+1	-1.570316E+3	4.874759E+3
1.050000E+1	-1.635030E+3	4.901326E+3
1.075000E+1	-1.759848E+3	5.060005E+3
1.100000E+1	-1.751765E+3	5.238644E+3
1.125000E+1	-1.724156E+3	5.248329E+3
1.150000E+1	-1.881320E+3	5.197258E+3
1.175000E+1	-2.137067E+3	5.304212E+3
1.200000E+1	-2.272948E+3	5.511570E+3
1.225000E+1	-2.324441E+3	5.614857E+3
1.250000E+1	-2.475623E+3	5.639367E+3
1.275000E+1	-2.697738E+3	5.748723E+3
1.300000E+1	-2.839301E+3	5.896940E+3
1.325000E+1	-2.969503E+3	5.926262E+3
1.350000E+1	-3.271124E+3	5.917972E+3
1.375000E+1	-3.673487E+3	6.081536E+3
1.400000E+1	-3.959913E+3	6.369136E+3
1.425000E+1	-4.169506E+3	6.577024E+3
1.450000E+1	-4.498794E+3	6.764305E+3
1.475000E+1	-4.857002E+3	7.154581E+3
1.500000E+1	-4.958301E+3	7.650454E+3
1.525000E+1	-4.858866E+3	7.900743E+3
1.550000E+1	-4.939963E+3	7.886073E+3
