freq (Hz)	real	complex
0.000000E+0	4.979577E+3	0.000000E+0
2.500000E-1	4.014052E+3	-2.116664E+3
5.000000E-1	1.997298E+3	-2.752411E+3
7.500000E-1	4.875946E+2	-1.976056E+3
1.000000E+0	8.840461E+0	-9.450954E+2
1.250000E+0	-4.840184E+1	-3.456450E+2
1.500000E+0	-2.113396E+2	5.486657E+1
1.750000E+0	-3.663227E+2	5.588302E+2
2.000000E+0	-3.367665E+2	1.027158E+3
2.250000E+0	-2.949399E+2	1.309216E+3
2.500000E+0	-3.939639E+2	1.573323E+3
2.750000E+0	-4.818483E+2	1.964186E+3
3.000000E+0	-4.255154E+2	2.336127E+3
3.250000E+0	-3.692395E+2	2.557820E+3
3.500000E+0	-4.486091E+2	2.766929E+3
3.750000E+0	-5.358198E+2	3.101539E+3
4.000000E+0	-4.904443E+2	3.441698E+3
4.250000E+0	-4.239135E+2	3.640256E+3
4.500000E+0	-4.916037E+2	3.793561E+3
4.750000E+0	-6.179096E+2	4.059327E+3
5.000000E+0	-6.509325E+2	4.381264E+3
5.250000E+0	-6.337308E+2	4.616723E+3
5.500000E+0	-7.013965E+2	4.799943E+3
5.750000E+0	-8.281979E+2	5.060744E+3
6.000000E+0	-8.899798E+2	5.383371E+3
6.250000E+0	-8.923955E+2	5.652197E+3
6.500000E+0	-9.394229E+2	5.865465E+3
6.750000E+0	-1.035447E+3	6.114693E+3
7.000000E+0	-1.098945E+3	6.402877E+3
7.250000E+0	-1.129099E+3	6.655165E+3
7.500000E+0	-1.194752E+3	6.872238E+3
7.750000E+0	-1.291432E+3	7.116116E+3
8.000000E+0	-1.360276E+3	7.373789E+3
8.250000E+0	-1.421933E+3	7.580238E+3
8.500000E+0	-1.552541E+3	7.752199E+3
8.750000E+0	-1.751701E+3	7.966482E+3
9.000000E+0	-1.962385E+3	8.234556E+3
9.250000E+0	-2.186433E+3	8.527583E+3
9.500000E+0	-2.444029E+3	8.886323E+3
9.750000E+0	-2.655798E+3	9.359151E+3
1.000000E+1	-2.720675E+3	9.859078E+3
1.025000E+1	-2.694384E+3	1.024032E+4
1.050000E+1	-2.734874E+3	1.050914E+4
1.075000E+1	-2.874270E+3	1.080484E+4
1.100000E+1	-3.001240E+3	1.117296E+4
1.125000E+1	-3.074067E+3	1.151984E+4
1.150000E+1	-3.182612E+3	1.180847E+4
1.175000E+1	-3.367047E+3	1.212973E+4
1.200000E+1	-3.539474E+3	1.253225E+4
1.225000E+1	-3.643725E+3	1.293663E+4
1.250000E+1	-3.748015E+3	1.328312E+4
1.275000E+1	-3.911244E+3	1.362810E+4
1.300000E+1	-4.087711E+3	1.402451E+4
1.325000E+1	-4.235262E+3	1.443273E+4
1.350000E+1	-4.395011E+3	1.482254E+4
1.375000E+1	-4.589099E+3	1.524308E+4
1.400000E+1	-4.757679E+3	1.571447E+4
1.425000E+1	-4.876992E+3	1.616640E+4
1.450000E+1	-5.025656E+3	1.656612E+4
1.475000E+1	-5.249842E+3	1.699487E+4
1.500000E+1	-5.474650E+3	1.751190E+4
1.525000E+1	-5.635360E+3	1.805566E+4
1.550000E+1	-5.780631E+3	1.856721E+4
1.575000E+1	-5.954887E+3	1.909027E+4
1.600000E+1	-6.107291E+3	1.965173E+4
1.625000E+1	-6.224714E+3	2.017970E+4
1.650000E+1	-6.412411E+3	2.066195E+4
1.675000E+1	-6.703144E+3	2.124021E+4
1.700000E+1	-6.930813E+3	2.198862E+4
1.725000E+1	-6.971254E+3	2.273924E+4
1.750000E+1	-6.973782E+3	2.332390E+4
1.775000E+1	-7.137855E+3	2.386199E+4
1.800000E+1	-7.378167E+3	2.457153E+4
1.825000E+1	-7.470864E+3	2.540064E+4
1.850000E+1	-7.442699E+3	2.613077E+4
1.875000E+1	-7.505646E+3	2.677909E+4
1.900000E+1	-7.640456E+3	2.756521E+4
1.925000E+1	-7.597548E+3	2.847337E+4
1.950000E+1	-7.363960E+3	2.920964E+4
1.975000E+1	-7.271919E+3	2.969697E+4
2.000000E+1	-7.493798E+3	3.027414E+4
2.025000E+1	-7.739612E+3	3.121759E+4
2.050000E+1	-7.663073E+3	3.234676E+4
2.075000E+1	-7.309055E+3	3.332438E+4
2.100000E+1	-6.922692E+3	3.410213E+4
2.125000E+1	-6.550894E+3	3.480833E+4
2.150000E+1	-6.126866E+3	3.541192E+4
2.175000E+1	-5.762755E+3	3.582603E+4
2.200000E+1	-5.601914E+3	3.619905E+4
2.225000E+1	-5.479660E+3	3.672386E+4
2.250000E+1	-5.129915E+3	3.720190E+4
2.275000E+1	-4.756394E+3	3.720844E+4
2.300000E+1	-4.997962E+3	3.680675E+4
2.325000E+1	-6.123116E+3	3.674669E+4
2.350000E+1	-7.528695E+3	3.768974E+4
2.375000E+1	-8.323550E+3	3.941899E+4
2.400000E+1	-8.295079E+3	4.109880E+4
2.425000E+1	-8.017344E+3	4.224835E+4
2.450000E+1	-8.023729E+3	4.315887E+4
2.475000E+1	-8.199441E+3	4.429173E+4
2.500000E+1	-8.162004E+3	4.559434E+4
2.525000E+1	-7.958943E+3	4.671101E+4
2.550000E+1	-7.975794E+3	4.768795E+4
2.575000E+1	-8.197716E+3	4.898331E+4
2.600000E+1	-8.072731E+3	5.066990E+4
2.625000E+1	-7.365664E+3	5.211734E+4
2.650000E+1	-6.718687E+3	5.285737E+4
2.675000E+1	-6.864798E+3	5.342686E+4
2.700000E+1	-7.512716E+3	5.477952E+4
2.725000E+1	-7.621618E+3	5.697584E+4
2.750000E+1	-6.770218E+3	5.907490E+4
