freq (Hz)	real	complex
0.000000E+0	5.234564E+3	0.000000E+0
2.500000E-1	4.478918E+3	-1.924759E+3
5.000000E-1	2.941373E+3	-2.734918E+3
7.500000E-1	1.727256E+3	-2.643524E+3
1.000000E+0	9.151254E+2	-2.426245E+3
1.250000E+0	6.437168E+1	-2.106022E+3
1.500000E+0	-6.217038E+2	-1.341467E+3
1.750000E+0	-6.844386E+2	-4.823965E+2
2.000000E+0	-4.523642E+2	-1.424164E+2
2.250000E+0	-6.101473E+2	-9.678832E+1
2.500000E+0	-1.017998E+3	3.439540E+2
2.750000E+0	-9.816810E+2	1.096730E+3
3.000000E+0	-5.111567E+2	1.451760E+3
3.250000E+0	-3.018930E+2	1.318696E+3
3.500000E+0	-5.316404E+2	1.327305E+3
3.750000E+0	-6.585782E+2	1.692690E+3
4.000000E+0	-4.727275E+2	1.938859E+3
4.250000E+0	-4.202980E+2	1.866114E+3
4.500000E+0	-7.116067E+2	1.905639E+3
4.750000E+0	-9.434817E+2	2.294738E+3
5.000000E+0	-8.575947E+2	2.680104E+3
5.250000E+0	-7.473899E+2	2.805828E+3
5.500000E+0	-8.411693E+2	2.914081E+3
5.750000E+0	-9.266784E+2	3.190497E+3
6.000000E+0	-8.621006E+2	3.427555E+3
6.250000E+0	-8.715992E+2	3.514726E+3
6.500000E+0	-1.057154E+3	3.701903E+3
6.750000E+0	-1.152653E+3	4.103746E+3
7.000000E+0	-1.027613E+3	4.458196E+3
7.250000E+0	-9.327048E+2	4.635193E+3
7.500000E+0	-9.889469E+2	4.893193E+3
7.750000E+0	-9.104514E+2	5.372476E+3
8.000000E+0	-4.891828E+2	5.788420E+3
8.250000E+0	7.591189E+1	5.863590E+3
8.500000E+0	5.309668E+2	5.641971E+3
8.750000E+0	8.037721E+2	5.212015E+3
9.000000E+0	7.456939E+2	4.604443E+3
9.250000E+0	1.728817E+2	4.126020E+3
9.500000E+0	-6.360033E+2	4.234182E+3
9.750000E+0	-1.042132E+3	4.842113E+3
1.000000E+1	-8.979467E+2	5.293663E+3
