freq (Hz)	real	complex
0.000000E+0	5.777903E+3	0.000000E+0
2.500000E-1	4.842633E+3	-2.150260E+3
5.000000E-1	3.033420E+3	-2.829848E+3
7.500000E-1	1.873094E+3	-2.406822E+3
1.000000E+0	1.414508E+3	-2.097186E+3
1.250000E+0	8.013405E+2	-2.025353E+3
1.500000E+0	3.457527E+1	-1.497306E+3
1.750000E+0	-1.519022E+2	-5.947514E+2
2.000000E+0	2.248956E+2	-1.319042E+2
2.250000E+0	3.564138E+2	-2.314891E+2
2.500000E+0	1.145542E+1	-1.735399E+2
2.750000E+0	-1.933989E+2	3.190317E+2
3.000000E+0	3.425977E+1	7.103040E+2
3.250000E+0	2.264755E+2	6.958827E+2
3.500000E+0	7.420166E+1	6.732264E+2
3.750000E+0	-9.280971E+1	9.378027E+2
4.000000E+0	-6.827095E+0	1.212477E+3
4.250000E+0	9.145168E+1	1.259566E+3
4.500000E+0	-7.819038E+0	1.292273E+3
4.750000E+0	-1.133827E+2	1.491669E+3
5.000000E+0	-7.549124E+1	1.679939E+3
5.250000E+0	-7.011461E+1	1.737551E+3
5.500000E+0	-1.932738E+2	1.849456E+3
5.750000E+0	-2.440952E+2	2.099323E+3
6.000000E+0	-1.375751E+2	2.269540E+3
6.250000E+0	-1.009106E+2	2.261155E+3
6.500000E+0	-2.529023E+2	2.296962E+3
6.750000E+0	-3.899719E+2	2.510923E+3
7.000000E+0	-3.762447E+2	2.726721E+3
7.250000E+0	-3.631126E+2	2.821354E+3
7.500000E+0	-4.512956E+2	2.931521E+3
7.750000E+0	-5.065677E+2	3.134302E+3
8.000000E+0	-4.707375E+2	3.288932E+3
8.250000E+0	-4.950558E+2	3.349503E+3
8.500000E+0	-6.181705E+2	3.478215E+3
8.750000E+0	-6.670609E+2	3.709367E+3
9.000000E+0	-6.092486E+2	3.858550E+3
9.250000E+0	-6.406733E+2	3.891739E+3
9.500000E+0	-8.001322E+2	4.014880E+3
9.750000E+0	-8.740807E+2	4.273014E+3
1.000000E+1	-8.112909E+2	4.446378E+3
1.025000E+1	-8.379759E+2	4.477322E+3
1.050000E+1	-1.019987E+3	4.599111E+3
1.075000E+1	-1.117526E+3	4.888948E+3
1.100000E+1	-1.038443E+3	5.103153E+3
1.125000E+1	-1.024868E+3	5.132206E+3
1.150000E+1	-1.202329E+3	5.209248E+3
1.175000E+1	-1.352603E+3	5.468987E+3
1.200000E+1	-1.341968E+3	5.708057E+3
1.225000E+1	-1.366276E+3	5.801762E+3
1.250000E+1	-1.539870E+3	5.949706E+3
1.275000E+1	-1.649404E+3	6.262021E+3
1.300000E+1	-1.577626E+3	6.506900E+3
1.325000E+1	-1.572130E+3	6.547279E+3
1.350000E+1	-1.798975E+3	6.636801E+3
1.375000E+1	-2.011190E+3	6.972401E+3
1.400000E+1	-1.985538E+3	7.323602E+3
1.425000E+1	-1.931286E+3	7.446598E+3
1.450000E+1	-2.109651E+3	7.526250E+3
1.475000E+1	-2.366195E+3	7.838419E+3
1.500000E+1	-2.417804E+3	8.267249E+3
1.525000E+1	-2.336464E+3	8.536311E+3
1.550000E+1	-2.373922E+3	8.676219E+3
1.575000E+1	-2.527971E+3	8.897240E+3
1.600000E+1	-2.637996E+3	9.202856E+3
1.625000E+1	-2.720023E+3	9.474617E+3
1.650000E+1	-2.872638E+3	9.762860E+3
1.675000E+1	-3.015052E+3	1.017109E+4
1.700000E+1	-3.025661E+3	1.060488E+4
1.725000E+1	-2.996297E+3	1.092509E+4
1.750000E+1	-3.078150E+3	1.121136E+4
1.775000E+1	-3.211638E+3	1.162190E+4
1.800000E+1	-3.240584E+3	1.212710E+4
1.825000E+1	-3.157700E+3	1.259054E+4
1.850000E+1	-3.056043E+3	1.297077E+4
1.875000E+1	-2.996937E+3	1.329240E+4
1.900000E+1	-3.048400E+3	1.360704E+4
1.925000E+1	-3.221254E+3	1.408767E+4
1.950000E+1	-3.262281E+3	1.487784E+4
1.975000E+1	-2.841944E+3	1.572228E+4
2.000000E+1	-2.107825E+3	1.611282E+4
2.025000E+1	-1.668474E+3	1.600227E+4
2.050000E+1	-1.788168E+3	1.598651E+4
2.075000E+1	-1.981307E+3	1.650489E+4
2.100000E+1	-1.710318E+3	1.723653E+4
2.125000E+1	-1.122941E+3	1.762782E+4
2.150000E+1	-7.240494E+2	1.768263E+4
2.175000E+1	-6.067335E+2	1.782785E+4
2.200000E+1	-4.180757E+2	1.822242E+4
2.225000E+1	7.046079E+1	1.858527E+4
2.250000E+1	6.872456E+2	1.860712E+4
2.275000E+1	1.076952E+3	1.828358E+4
2.300000E+1	1.023495E+3	1.791976E+4
2.325000E+1	6.713437E+2	1.790277E+4
2.350000E+1	4.770127E+2	1.831211E+4
2.375000E+1	7.409936E+2	1.873642E+4
2.400000E+1	1.194440E+3	1.871059E+4
2.425000E+1	1.311537E+3	1.829702E+4
2.450000E+1	9.530037E+2	1.794106E+4
