freq (Hz)	magnitude
0.000000E+0	9.541252E-1
2.500000E-1	9.501484E-1
5.000000E-1	9.317198E-1
7.500000E-1	8.625803E-1
1.000000E+0	6.159781E-1
1.250000E+0	2.002969E-1
1.500000E+0	9.963908E-2
1.750000E+0	5.337047E-1
2.000000E+0	7.787783E-1
2.250000E+0	8.685794E-1
2.500000E+0	8.934033E-1
2.750000E+0	8.954447E-1
3.000000E+0	9.037867E-1
3.250000E+0	9.246226E-1
3.500000E+0	9.487804E-1
3.750000E+0	9.572377E-1
4.000000E+0	9.543742E-1
4.250000E+0	9.547783E-1
4.500000E+0	9.618925E-1
4.750000E+0	9.670182E-1
5.000000E+0	9.652974E-1
5.250000E+0	9.622461E-1
5.500000E+0	9.627505E-1
5.750000E+0	9.659833E-1
6.000000E+0	9.689771E-1
6.250000E+0	9.714189E-1
6.500000E+0	9.732944E-1
6.750000E+0	9.733236E-1
7.000000E+0	9.721992E-1
7.250000E+0	9.727107E-1
7.500000E+0	9.753046E-1
7.750000E+0	9.768151E-1
8.000000E+0	9.753897E-1
8.250000E+0	9.735441E-1
8.500000E+0	9.740524E-1
8.750000E+0	9.757761E-1
9.000000E+0	9.756900E-1
9.250000E+0	9.736114E-1
9.500000E+0	9.717879E-1
9.750000E+0	9.714091E-1
1.000000E+1	9.719006E-1
1.025000E+1	9.727647E-1
1.050000E+1	9.738555E-1
1.075000E+1	9.745299E-1
1.100000E+1	9.743337E-1
1.125000E+1	9.740253E-1
1.150000E+1	9.745019E-1
1.175000E+1	9.753400E-1
1.200000E+1	9.754582E-1
1.225000E+1	9.748528E-1
1.250000E+1	9.743430E-1
1.275000E+1	9.742350E-1
1.300000E+1	9.742762E-1
1.325000E+1	9.744675E-1
1.350000E+1	9.748746E-1
1.375000E+1	9.750006E-1
1.400000E+1	9.744555E-1
1.425000E+1	9.739127E-1
1.450000E+1	9.743387E-1
1.475000E+1	9.755439E-1
1.500000E+1	9.763624E-1
1.525000E+1	9.762602E-1
1.550000E+1	9.757493E-1
1.575000E+1	9.754025E-1
1.600000E+1	9.753189E-1
1.625000E+1	9.753955E-1
1.650000E+1	9.754799E-1
