freq (Hz)	magnitude
0.000000E+0	9.880682E-1
2.500000E-1	9.710370E-1
5.000000E-1	8.820081E-1
7.500000E-1	6.844230E-1
1.000000E+0	5.556417E-1
1.250000E+0	4.828192E-1
1.500000E+0	5.317845E-1
1.750000E+0	7.104515E-1
2.000000E+0	7.277487E-1
2.250000E+0	6.974437E-1
2.500000E+0	7.487445E-1
2.750000E+0	8.459747E-1
3.000000E+0	8.777501E-1
3.250000E+0	8.758073E-1
3.500000E+0	8.888690E-1
3.750000E+0	9.168607E-1
4.000000E+0	9.336685E-1
4.250000E+0	9.248837E-1
4.500000E+0	9.027574E-1
4.750000E+0	8.909831E-1
5.000000E+0	8.863631E-1
5.250000E+0	8.868398E-1
5.500000E+0	9.002973E-1
5.750000E+0	9.199198E-1
6.000000E+0	9.256157E-1
6.250000E+0	9.157880E-1
6.500000E+0	9.077094E-1
6.750000E+0	9.161349E-1
7.000000E+0	9.336737E-1
7.250000E+0	9.426257E-1
7.500000E+0	9.394893E-1
7.750000E+0	9.373790E-1
8.000000E+0	9.451092E-1
8.250000E+0	9.604964E-1
8.500000E+0	9.746586E-1
8.750000E+0	9.777677E-1
9.000000E+0	9.705402E-1
9.250000E+0	9.633207E-1
9.500000E+0	9.618488E-1
9.750000E+0	9.631657E-1
1.000000E+1	9.639865E-1
1.025000E+1	9.650340E-1
1.050000E+1	9.676781E-1
1.075000E+1	9.702650E-1
1.100000E+1	9.698245E-1
1.125000E+1	9.662481E-1
1.150000E+1	9.626014E-1
1.175000E+1	9.601878E-1
1.200000E+1	9.571116E-1
1.225000E+1	9.532532E-1
1.250000E+1	9.519385E-1
1.275000E+1	9.535049E-1
1.300000E+1	9.535722E-1
1.325000E+1	9.495725E-1
1.350000E+1	9.452537E-1
1.375000E+1	9.453084E-1
1.400000E+1	9.472268E-1
1.425000E+1	9.461507E-1
1.450000E+1	9.421770E-1
1.475000E+1	9.398665E-1
1.500000E+1	9.408501E-1
1.525000E+1	9.421800E-1
1.550000E+1	9.411585E-1
1.575000E+1	9.379921E-1
1.600000E+1	9.344228E-1
1.625000E+1	9.323769E-1
1.650000E+1	9.340048E-1
1.675000E+1	9.394509E-1
1.700000E+1	9.458158E-1
1.725000E+1	9.505448E-1
1.750000E+1	9.535570E-1
1.775000E+1	9.554042E-1
1.800000E+1	9.546494E-1
1.825000E+1	9.499856E-1
1.850000E+1	9.448735E-1
1.875000E+1	9.449142E-1
1.900000E+1	9.504355E-1
1.925000E+1	9.570633E-1
1.950000E+1	9.616945E-1
1.975000E+1	9.651917E-1
2.000000E+1	9.681912E-1
2.025000E+1	9.676985E-1
2.050000E+1	9.615571E-1
2.075000E+1	9.542117E-1
2.100000E+1	9.505130E-1
2.125000E+1	9.468503E-1
2.150000E+1	9.365497E-1
