freq (Hz)	real	complex
0.000000E+0	4.136781E+3	0.000000E+0
2.500000E-1	3.507790E+3	-1.511124E+3
5.000000E-1	2.206802E+3	-2.063423E+3
7.500000E-1	1.240122E+3	-1.743634E+3
1.000000E+0	8.779429E+2	-1.318849E+3
1.250000E+0	6.643375E+2	-1.158845E+3
1.500000E+0	2.970435E+2	-1.009843E+3
1.750000E+0	-4.526247E+1	-6.511503E+2
2.000000E+0	-1.750168E+2	-2.265687E+2
2.250000E+0	-1.839175E+2	9.944461E+1
2.500000E+0	-1.798012E+2	3.704261E+2
2.750000E+0	-1.213149E+2	6.185172E+2
3.000000E+0	-2.652395E+1	7.583589E+2
3.250000E+0	-3.512035E+1	8.134659E+2
3.500000E+0	-1.470831E+2	9.601988E+2
3.750000E+0	-1.689136E+2	1.230258E+3
4.000000E+0	-3.498425E+1	1.425833E+3
4.250000E+0	6.663532E+1	1.445870E+3
4.500000E+0	6.606182E+0	1.451444E+3
4.750000E+0	-9.094738E+1	1.580871E+3
5.000000E+0	-1.005045E+2	1.740569E+3
5.250000E+0	-1.044581E+2	1.828656E+3
5.500000E+0	-1.863534E+2	1.936781E+3
5.750000E+0	-2.343676E+2	2.147258E+3
6.000000E+0	-1.475407E+2	2.331466E+3
6.250000E+0	-5.504498E+1	2.356946E+3
6.500000E+0	-1.194223E+2	2.331862E+3
6.750000E+0	-2.690563E+2	2.432791E+3
7.000000E+0	-3.358479E+2	2.625484E+3
7.250000E+0	-3.307272E+2	2.767288E+3
7.500000E+0	-3.676790E+2	2.866528E+3
7.750000E+0	-4.245733E+2	3.019193E+3
8.000000E+0	-4.058316E+2	3.184998E+3
8.250000E+0	-3.611971E+2	3.254511E+3
8.500000E+0	-4.167402E+2	3.271787E+3
8.750000E+0	-5.448128E+2	3.370187E+3
9.000000E+0	-6.179178E+2	3.537141E+3
9.250000E+0	-6.447050E+2	3.656677E+3
9.500000E+0	-7.360997E+2	3.743880E+3
9.750000E+0	-8.707402E+2	3.917042E+3
1.000000E+1	-9.159840E+2	4.159481E+3
1.025000E+1	-8.710848E+2	4.329146E+3
1.050000E+1	-8.740897E+2	4.403503E+3
1.075000E+1	-9.622294E+2	4.504527E+3
1.100000E+1	-1.032566E+3	4.671300E+3
1.125000E+1	-1.054059E+3	4.813757E+3
1.150000E+1	-1.113122E+3	4.911455E+3
1.175000E+1	-1.222428E+3	5.053910E+3
1.200000E+1	-1.286010E+3	5.250366E+3
1.225000E+1	-1.293435E+3	5.397046E+3
1.250000E+1	-1.355475E+3	5.477065E+3
1.275000E+1	-1.499886E+3	5.603918E+3
1.300000E+1	-1.617012E+3	5.816960E+3
1.325000E+1	-1.659338E+3	6.015763E+3
1.350000E+1	-1.715659E+3	6.149816E+3
1.375000E+1	-1.834276E+3	6.295963E+3
1.400000E+1	-1.948778E+3	6.494526E+3
1.425000E+1	-2.032373E+3	6.684367E+3
1.450000E+1	-2.149817E+3	6.853812E+3
1.475000E+1	-2.302638E+3	7.079476E+3
1.500000E+1	-2.399819E+3	7.361628E+3
1.525000E+1	-2.435066E+3	7.598533E+3
1.550000E+1	-2.514465E+3	7.775284E+3
1.575000E+1	-2.659960E+3	7.996669E+3
1.600000E+1	-2.771478E+3	8.287674E+3
1.625000E+1	-2.825794E+3	8.553920E+3
1.650000E+1	-2.912107E+3	8.778644E+3
1.675000E+1	-3.034780E+3	9.047156E+3
1.700000E+1	-3.107066E+3	9.342339E+3
1.725000E+1	-3.175412E+3	9.560391E+3
1.750000E+1	-3.385560E+3	9.771205E+3
1.775000E+1	-3.671963E+3	1.018072E+4
1.800000E+1	-3.776678E+3	1.076609E+4
1.825000E+1	-3.657620E+3	1.125396E+4
1.850000E+1	-3.560634E+3	1.154961E+4
1.875000E+1	-3.592358E+3	1.185047E+4
1.900000E+1	-3.589001E+3	1.222906E+4
1.925000E+1	-3.539165E+3	1.250876E+4
1.950000E+1	-3.694540E+3	1.272887E+4
1.975000E+1	-4.021656E+3	1.326675E+4
2.000000E+1	-4.012113E+3	1.418426E+4
2.025000E+1	-3.425603E+3	1.489893E+4
2.050000E+1	-2.818783E+3	1.495681E+4
2.075000E+1	-2.835348E+3	1.478711E+4
2.100000E+1	-3.250346E+3	1.515801E+4
2.125000E+1	-3.263798E+3	1.609566E+4
2.150000E+1	-2.595038E+3	1.688626E+4
2.175000E+1	-1.754975E+3	1.706351E+4
2.200000E+1	-1.260037E+3	1.688488E+4
2.225000E+1	-1.049407E+3	1.679267E+4
2.250000E+1	-7.787031E+2	1.681419E+4
2.275000E+1	-3.757788E+2	1.663517E+4
2.300000E+1	-1.673890E+2	1.607156E+4
2.325000E+1	-5.350687E+2	1.538682E+4
2.350000E+1	-1.425805E+3	1.513835E+4
2.375000E+1	-2.244157E+3	1.556907E+4
2.400000E+1	-2.487827E+3	1.618908E+4
2.425000E+1	-2.480162E+3	1.632700E+4
2.450000E+1	-3.005599E+3	1.613417E+4
2.475000E+1	-4.108350E+3	1.648262E+4
2.500000E+1	-4.887621E+3	1.765909E+4
2.525000E+1	-4.807466E+3	1.884218E+4
2.550000E+1	-4.511750E+3	1.931789E+4
2.575000E+1	-4.781170E+3	1.952492E+4
2.600000E+1	-5.339859E+3	2.022496E+4
2.625000E+1	-5.471347E+3	2.123870E+4
2.650000E+1	-5.301095E+3	2.187040E+4
2.675000E+1	-5.543572E+3	2.218266E+4
2.700000E+1	-6.255546E+3	2.291346E+4
2.725000E+1	-6.740217E+3	2.429494E+4
2.750000E+1	-6.600879E+3	2.578391E+4
2.775000E+1	-6.142171E+3	2.691749E+4
2.800000E+1	-5.761312E+3	2.776566E+4
2.825000E+1	-5.542004E+3	2.857357E+4
2.850000E+1	-5.401879E+3	2.948534E+4
2.875000E+1	-5.190848E+3	3.054647E+4
2.900000E+1	-4.771059E+3	3.161235E+4
2.925000E+1	-4.290193E+3	3.246600E+4
2.950000E+1	-4.052931E+3	3.326324E+4
2.975000E+1	-3.907761E+3	3.441378E+4
3.000000E+1	-3.332337E+3	3.580041E+4
3.025000E+1	-2.376763E+3	3.680100E+4
3.050000E+1	-1.736613E+3	3.737813E+4
3.075000E+1	-1.545433E+3	3.827371E+4
3.100000E+1	-1.043151E+3	3.972193E+4
3.125000E+1	1.000693E+2	4.098083E+4
3.150000E+1	1.195730E+3	4.165282E+4
3.175000E+1	1.824606E+3	4.236047E+4
3.200000E+1	2.560081E+3	4.350497E+4
3.225000E+1	3.767859E+3	4.453432E+4
3.250000E+1	4.895674E+3	4.512081E+4
3.275000E+1	5.652383E+3	4.583283E+4
3.300000E+1	6.635730E+3	4.693082E+4
3.325000E+1	8.084949E+3	4.778223E+4
3.350000E+1	9.334135E+3	4.816566E+4
3.375000E+1	1.018251E+4	4.878443E+4
3.400000E+1	1.137963E+4	4.982573E+4
3.425000E+1	1.311475E+4	5.050439E+4
3.450000E+1	1.460287E+4	5.064347E+4
3.475000E+1	1.575217E+4	5.101864E+4
3.500000E+1	1.741377E+4	5.155406E+4
3.525000E+1	1.935846E+4	5.115791E+4
3.550000E+1	2.012713E+4	5.004880E+4
3.575000E+1	1.969638E+4	5.001775E+4
3.600000E+1	1.999216E+4	5.147008E+4
3.625000E+1	2.176049E+4	5.256984E+4
3.650000E+1	2.336564E+4	5.239521E+4
3.675000E+1	2.386335E+4	5.241529E+4
3.700000E+1	2.465198E+4	5.353913E+4
3.725000E+1	2.662683E+4	5.437235E+4
3.750000E+1	2.839052E+4	5.399525E+4
3.775000E+1	2.899325E+4	5.377204E+4
3.800000E+1	2.972198E+4	5.462167E+4
3.825000E+1	3.131965E+4	5.531337E+4
3.850000E+1	3.241790E+4	5.544549E+4
3.875000E+1	3.295007E+4	5.692108E+4
3.900000E+1	3.576794E+4	5.985172E+4
3.925000E+1	4.175239E+4	6.036401E+4
3.950000E+1	4.651819E+4	5.610348E+4
3.975000E+1	4.602746E+4	5.103034E+4
4.000000E+1	4.295470E+4	5.039607E+4
4.025000E+1	4.290133E+4	5.313314E+4
4.050000E+1	4.613564E+4	5.402877E+4
4.075000E+1	4.813032E+4	5.199189E+4
4.100000E+1	4.733453E+4	5.091273E+4
4.125000E+1	4.708121E+4	5.268153E+4
4.150000E+1	4.952773E+4	5.458018E+4
4.175000E+1	5.265600E+4	5.438846E+4
4.200000E+1	5.446410E+4	5.349561E+4
4.225000E+1	5.594252E+4	5.351416E+4
4.250000E+1	5.831790E+4	5.362814E+4
4.275000E+1	6.083194E+4	5.293292E+4
4.300000E+1	6.287565E+4	5.220587E+4
4.325000E+1	6.535681E+4	5.180368E+4
4.350000E+1	6.851028E+4	5.061712E+4
4.375000E+1	7.109853E+4	4.841661E+4
4.400000E+1	7.296636E+4	4.645143E+4
4.425000E+1	7.546829E+4	4.459994E+4
4.450000E+1	7.818580E+4	4.104242E+4
4.475000E+1	7.852259E+4	3.611816E+4
4.500000E+1	7.618247E+4	3.309095E+4
4.525000E+1	7.459591E+4	3.316749E+4
4.550000E+1	7.568903E+4	3.320844E+4
4.575000E+1	7.667994E+4	3.092084E+4
