freq (Hz)	magnitude
0.000000E+0	9.707761E-1
2.500000E-1	9.728290E-1
5.000000E-1	9.783706E-1
7.500000E-1	9.788444E-1
1.000000E+0	9.501461E-1
1.250000E+0	8.938302E-1
1.500000E+0	8.222810E-1
1.750000E+0	6.958706E-1
2.000000E+0	6.254804E-1
2.250000E+0	6.572856E-1
2.500000E+0	8.404819E-1
2.750000E+0	9.734179E-1
3.000000E+0	9.599209E-1
3.250000E+0	9.326049E-1
3.500000E+0	9.484250E-1
3.750000E+0	9.726548E-1
4.000000E+0	9.493867E-1
4.250000E+0	9.227523E-1
4.500000E+0	9.355269E-1
4.750000E+0	9.671828E-1
5.000000E+0	9.780100E-1
5.250000E+0	9.637556E-1
5.500000E+0	9.603916E-1
5.750000E+0	9.731228E-1
6.000000E+0	9.787696E-1
6.250000E+0	9.752137E-1
6.500000E+0	9.776396E-1
6.750000E+0	9.800226E-1
7.000000E+0	9.639911E-1
7.250000E+0	9.429352E-1
7.500000E+0	9.418605E-1
7.750000E+0	9.554092E-1
8.000000E+0	9.649917E-1
8.250000E+0	9.597721E-1
8.500000E+0	9.574554E-1
8.750000E+0	9.658702E-1
9.000000E+0	9.656368E-1
9.250000E+0	9.560421E-1
9.500000E+0	9.578161E-1
9.750000E+0	9.706984E-1
1.000000E+1	9.759709E-1
1.025000E+1	9.707849E-1
1.050000E+1	9.678055E-1
1.075000E+1	9.740879E-1
1.100000E+1	9.781217E-1
1.125000E+1	9.713602E-1
1.150000E+1	9.635090E-1
1.175000E+1	9.643986E-1
1.200000E+1	9.670663E-1
1.225000E+1	9.649045E-1
1.250000E+1	9.633275E-1
1.275000E+1	9.680350E-1
1.300000E+1	9.738370E-1
1.325000E+1	9.743989E-1
1.350000E+1	9.727487E-1
1.375000E+1	9.730088E-1
1.400000E+1	9.730246E-1
1.425000E+1	9.707222E-1
1.450000E+1	9.691456E-1
1.475000E+1	9.705302E-1
1.500000E+1	9.721701E-1
1.525000E+1	9.723793E-1
1.550000E+1	9.733225E-1
1.575000E+1	9.748350E-1
1.600000E+1	9.732948E-1
1.625000E+1	9.692229E-1
1.650000E+1	9.682569E-1
1.675000E+1	9.716531E-1
1.700000E+1	9.737628E-1
1.725000E+1	9.712533E-1
1.750000E+1	9.683444E-1
1.775000E+1	9.682155E-1
1.800000E+1	9.682735E-1
1.825000E+1	9.672138E-1
1.850000E+1	9.685931E-1
1.875000E+1	9.729099E-1
1.900000E+1	9.742245E-1
1.925000E+1	9.693113E-1
1.950000E+1	9.646949E-1
1.975000E+1	9.656614E-1
2.000000E+1	9.682589E-1
2.025000E+1	9.663116E-1
2.050000E+1	9.626068E-1
2.075000E+1	9.630430E-1
2.100000E+1	9.653907E-1
2.125000E+1	9.625915E-1
2.150000E+1	9.567063E-1
2.175000E+1	9.555326E-1
2.200000E+1	9.564358E-1
2.225000E+1	9.457915E-1
2.250000E+1	9.224244E-1
2.275000E+1	9.056536E-1
2.300000E+1	9.061606E-1
2.325000E+1	9.252599E-1
2.350000E+1	9.469179E-1
2.375000E+1	9.459339E-1
2.400000E+1	9.390462E-1
2.425000E+1	9.465574E-1
2.450000E+1	9.647696E-1
2.475000E+1	9.723849E-1
2.500000E+1	9.657078E-1
2.525000E+1	9.631979E-1
2.550000E+1	9.727116E-1
2.575000E+1	9.806154E-1
2.600000E+1	9.759947E-1
2.625000E+1	9.690283E-1
2.650000E+1	9.704817E-1
2.675000E+1	9.763179E-1
2.700000E+1	9.766084E-1
2.725000E+1	9.728461E-1
