freq (Hz)	real	complex
0.000000E+0	5.932743E+3	0.000000E+0
2.500000E-1	4.842406E+3	-2.307891E+3
5.000000E-1	2.819986E+3	-2.833991E+3
7.500000E-1	1.745125E+3	-2.123538E+3
1.000000E+0	1.587471E+3	-1.771398E+3
1.250000E+0	1.129983E+3	-1.921287E+3
1.500000E+0	2.692658E+2	-1.582034E+3
1.750000E+0	-5.604424E+1	-6.888600E+2
2.000000E+0	2.753976E+2	-1.698859E+2
2.250000E+0	4.050891E+2	-2.420872E+2
2.500000E+0	6.450748E+1	-1.647279E+2
2.750000E+0	-1.100087E+2	3.239597E+2
3.000000E+0	1.166629E+2	6.509816E+2
3.250000E+0	2.097139E+2	5.994158E+2
3.500000E+0	-3.584170E+1	6.727860E+2
3.750000E+0	-1.397501E+2	1.062588E+3
4.000000E+0	8.025701E+1	1.297950E+3
4.250000E+0	1.549525E+2	1.190584E+3
4.500000E+0	-1.262348E+2	1.201148E+3
4.750000E+0	-3.285974E+2	1.568160E+3
5.000000E+0	-1.944393E+2	1.900517E+3
5.250000E+0	-6.252628E+1	1.941451E+3
5.500000E+0	-1.651679E+2	1.983605E+3
5.750000E+0	-2.350536E+2	2.219233E+3
6.000000E+0	-1.190367E+2	2.380453E+3
6.250000E+0	-1.032900E+2	2.337539E+3
6.500000E+0	-3.132891E+2	2.398138E+3
6.750000E+0	-4.264194E+2	2.695837E+3
7.000000E+0	-2.966620E+2	2.900172E+3
7.250000E+0	-2.587223E+2	2.850968E+3
7.500000E+0	-4.903827E+2	2.884603E+3
7.750000E+0	-6.590791E+2	3.200875E+3
8.000000E+0	-5.414845E+2	3.480329E+3
8.250000E+0	-4.336949E+2	3.480605E+3
8.500000E+0	-5.865542E+2	3.467804E+3
8.750000E+0	-7.633833E+2	3.688012E+3
9.000000E+0	-7.337230E+2	3.925693E+3
9.250000E+0	-7.051617E+2	3.970332E+3
9.500000E+0	-8.723214E+2	4.035206E+3
9.750000E+0	-1.007116E+3	4.310846E+3
1.000000E+1	-9.071827E+2	4.554430E+3
1.025000E+1	-8.190452E+2	4.538981E+3
1.050000E+1	-9.962729E+2	4.497585E+3
1.075000E+1	-1.232329E+3	4.700414E+3
1.100000E+1	-1.254440E+3	4.969526E+3
1.125000E+1	-1.217944E+3	5.037830E+3
1.150000E+1	-1.383200E+3	5.042986E+3
1.175000E+1	-1.630503E+3	5.237810E+3
1.200000E+1	-1.720724E+3	5.520887E+3
1.225000E+1	-1.743618E+3	5.674872E+3
1.250000E+1	-1.893139E+3	5.791009E+3
1.275000E+1	-2.065087E+3	6.048641E+3
1.300000E+1	-2.080503E+3	6.328857E+3
1.325000E+1	-2.064356E+3	6.442843E+3
1.350000E+1	-2.215404E+3	6.509508E+3
1.375000E+1	-2.427649E+3	6.729188E+3
1.400000E+1	-2.508486E+3	7.006865E+3
1.425000E+1	-2.548859E+3	7.161613E+3
1.450000E+1	-2.719266E+3	7.286063E+3
1.475000E+1	-2.922534E+3	7.542381E+3
1.500000E+1	-3.003881E+3	7.825896E+3
1.525000E+1	-3.080601E+3	7.986778E+3
1.550000E+1	-3.304601E+3	8.159949E+3
1.575000E+1	-3.522619E+3	8.510606E+3
