freq (Hz)	magnitude
0.000000E+0	9.899452E-1
2.500000E-1	9.900974E-1
5.000000E-1	9.902119E-1
7.500000E-1	9.879665E-1
1.000000E+0	9.812779E-1
1.250000E+0	9.733261E-1
1.500000E+0	9.617768E-1
1.750000E+0	9.431818E-1
2.000000E+0	9.625215E-1
2.250000E+0	9.680522E-1
2.500000E+0	9.335838E-1
2.750000E+0	8.083763E-1
3.000000E+0	1.127741E-1
3.250000E+0	8.553372E-1
3.500000E+0	5.927195E-1
3.750000E+0	5.267521E-2
4.000000E+0	4.259385E-1
4.250000E+0	6.081802E-1
4.500000E+0	7.286209E-1
4.750000E+0	8.839792E-1
5.000000E+0	9.076925E-1
5.250000E+0	9.122833E-1
5.500000E+0	9.234315E-1
5.750000E+0	9.550453E-1
6.000000E+0	9.667958E-1
6.250000E+0	9.736137E-1
6.500000E+0	9.807791E-1
6.750000E+0	9.827081E-1
7.000000E+0	9.802178E-1
7.250000E+0	9.789100E-1
7.500000E+0	9.797295E-1
7.750000E+0	9.832475E-1
8.000000E+0	9.878639E-1
8.250000E+0	9.916170E-1
8.500000E+0	9.919045E-1
8.750000E+0	9.884002E-1
9.000000E+0	9.860296E-1
9.250000E+0	9.861307E-1
9.500000E+0	9.872803E-1
9.750000E+0	9.883423E-1
1.000000E+1	9.887836E-1
1.025000E+1	9.882724E-1
1.050000E+1	9.873605E-1
1.075000E+1	9.878788E-1
1.100000E+1	9.897274E-1
1.125000E+1	9.912570E-1
1.150000E+1	9.922761E-1
1.175000E+1	9.936514E-1
1.200000E+1	9.945260E-1
1.225000E+1	9.930469E-1
1.250000E+1	9.903930E-1
1.275000E+1	9.905486E-1
1.300000E+1	9.939094E-1
1.325000E+1	9.961698E-1
1.350000E+1	9.945507E-1
1.375000E+1	9.920477E-1
1.400000E+1	9.920370E-1
1.425000E+1	9.931357E-1
1.450000E+1	9.933927E-1
1.475000E+1	9.934982E-1
1.500000E+1	9.940271E-1
1.525000E+1	9.936223E-1
1.550000E+1	9.922341E-1
1.575000E+1	9.921982E-1
1.600000E+1	9.934996E-1
1.625000E+1	9.930622E-1
1.650000E+1	9.910514E-1
1.675000E+1	9.917381E-1
1.700000E+1	9.952149E-1
1.725000E+1	9.960073E-1
1.750000E+1	9.922819E-1
1.775000E+1	9.896454E-1
1.800000E+1	9.918556E-1
1.825000E+1	9.935918E-1
1.850000E+1	9.893158E-1
1.875000E+1	9.836632E-1
1.900000E+1	9.838322E-1
1.925000E+1	9.893433E-1
1.950000E+1	9.932884E-1
1.975000E+1	9.913068E-1
2.000000E+1	9.871060E-1
2.025000E+1	9.836428E-1
2.050000E+1	9.800988E-1
2.075000E+1	9.774163E-1
2.100000E+1	9.782761E-1
2.125000E+1	9.813979E-1
2.150000E+1	9.825636E-1
2.175000E+1	9.801086E-1
2.200000E+1	9.744318E-1
2.225000E+1	9.648901E-1
2.250000E+1	9.527831E-1
2.275000E+1	9.436282E-1
2.300000E+1	9.406639E-1
2.325000E+1	9.410157E-1
2.350000E+1	9.387664E-1
2.375000E+1	9.357368E-1
2.400000E+1	9.452370E-1
2.425000E+1	9.668389E-1
2.450000E+1	9.795971E-1
2.475000E+1	9.722386E-1
2.500000E+1	9.648958E-1
2.525000E+1	9.730742E-1
2.550000E+1	9.811307E-1
2.575000E+1	9.783157E-1
2.600000E+1	9.725683E-1
2.625000E+1	9.761604E-1
2.650000E+1	9.776097E-1
2.675000E+1	9.658401E-1
2.700000E+1	9.478688E-1
2.725000E+1	9.368837E-1
2.750000E+1	9.393755E-1
2.775000E+1	9.535429E-1
2.800000E+1	9.741236E-1
2.825000E+1	9.892389E-1
