freq (Hz)	real	complex
0.000000E+0	5.954721E+3	0.000000E+0
2.500000E-1	4.706828E+3	-2.594245E+3
5.000000E-1	2.315908E+3	-3.164017E+3
7.500000E-1	9.305711E+2	-2.167042E+3
1.000000E+0	7.701988E+2	-1.376553E+3
1.250000E+0	5.963023E+2	-1.256595E+3
1.500000E+0	1.601605E+1	-9.429775E+2
1.750000E+0	-2.445280E+2	-1.723698E+2
2.000000E+0	4.226693E+1	3.556310E+2
2.250000E+0	2.249196E+2	3.756322E+2
2.500000E+0	1.128577E+1	4.440754E+2
2.750000E+0	-1.365344E+2	8.337499E+2
3.000000E+0	1.346565E+1	1.141453E+3
3.250000E+0	8.876044E+1	1.166927E+3
3.500000E+0	-9.284559E+1	1.259744E+3
3.750000E+0	-2.043529E+2	1.588842E+3
4.000000E+0	-8.861198E+1	1.847038E+3
4.250000E+0	-3.506223E+1	1.885206E+3
4.500000E+0	-1.876478E+2	1.972479E+3
4.750000E+0	-3.018697E+2	2.244941E+3
5.000000E+0	-2.570175E+2	2.483424E+3
5.250000E+0	-2.522288E+2	2.590632E+3
5.500000E+0	-3.570913E+2	2.755897E+3
5.750000E+0	-3.804630E+2	3.023295E+3
6.000000E+0	-2.954550E+2	3.191956E+3
6.250000E+0	-3.134839E+2	3.242412E+3
6.500000E+0	-4.519946E+2	3.392407E+3
6.750000E+0	-4.901474E+2	3.657345E+3
7.000000E+0	-4.152982E+2	3.812230E+3
7.250000E+0	-4.589716E+2	3.844141E+3
7.500000E+0	-6.398566E+2	3.989895E+3
7.750000E+0	-7.211093E+2	4.277026E+3
8.000000E+0	-6.677181E+2	4.473712E+3
8.250000E+0	-7.048146E+2	4.540212E+3
8.500000E+0	-8.765978E+2	4.694900E+3
8.750000E+0	-9.743494E+2	4.988205E+3
9.000000E+0	-9.424720E+2	5.228409E+3
9.250000E+0	-9.480323E+2	5.363244E+3
9.500000E+0	-1.025005E+3	5.534518E+3
9.750000E+0	-1.046264E+3	5.744059E+3
1.000000E+1	-1.046170E+3	5.861621E+3
1.025000E+1	-1.173327E+3	5.950033E+3
1.050000E+1	-1.349149E+3	6.181983E+3
1.075000E+1	-1.378716E+3	6.472343E+3
1.100000E+1	-1.349815E+3	6.606418E+3
1.125000E+1	-1.497145E+3	6.671407E+3
1.150000E+1	-1.740276E+3	6.921743E+3
1.175000E+1	-1.809935E+3	7.290734E+3
1.200000E+1	-1.756047E+3	7.503419E+3
1.225000E+1	-1.849793E+3	7.596041E+3
1.250000E+1	-2.060614E+3	7.829991E+3
1.275000E+1	-2.137333E+3	8.170230E+3
1.300000E+1	-2.128287E+3	8.370121E+3
1.325000E+1	-2.285508E+3	8.495110E+3
1.350000E+1	-2.529257E+3	8.812613E+3
1.375000E+1	-2.570869E+3	9.236222E+3
1.400000E+1	-2.494892E+3	9.455949E+3
1.425000E+1	-2.627969E+3	9.548890E+3
1.450000E+1	-2.900513E+3	9.852248E+3
1.475000E+1	-2.967204E+3	1.029885E+4
1.500000E+1	-2.897848E+3	1.053034E+4
1.525000E+1	-3.073519E+3	1.061687E+4
1.550000E+1	-3.435416E+3	1.096798E+4
1.575000E+1	-3.550741E+3	1.155075E+4
1.600000E+1	-3.418701E+3	1.192401E+4
1.625000E+1	-3.471561E+3	1.205672E+4
1.650000E+1	-3.756897E+3	1.235986E+4
1.675000E+1	-3.887209E+3	1.287754E+4
1.700000E+1	-3.841043E+3	1.323409E+4
1.725000E+1	-4.005308E+3	1.343857E+4
1.750000E+1	-4.350037E+3	1.391199E+4
1.775000E+1	-4.410679E+3	1.462383E+4
1.800000E+1	-4.202066E+3	1.507103E+4
1.825000E+1	-4.258283E+3	1.524818E+4
1.850000E+1	-4.605063E+3	1.572127E+4
1.875000E+1	-4.636954E+3	1.654373E+4
1.900000E+1	-4.254267E+3	1.706695E+4
1.925000E+1	-4.139735E+3	1.712025E+4
1.950000E+1	-4.556295E+3	1.739481E+4
1.975000E+1	-4.844427E+3	1.825127E+4
2.000000E+1	-4.567256E+3	1.910286E+4
2.025000E+1	-4.219442E+3	1.948152E+4
2.050000E+1	-4.256086E+3	1.980569E+4
2.075000E+1	-4.297517E+3	2.050165E+4
2.100000E+1	-3.930798E+3	2.120018E+4
2.125000E+1	-3.518057E+3	2.147709E+4
2.150000E+1	-3.510000E+3	2.167606E+4
2.175000E+1	-3.595209E+3	2.228443E+4
2.200000E+1	-3.237804E+3	2.304695E+4
2.225000E+1	-2.591605E+3	2.338073E+4
2.250000E+1	-2.247536E+3	2.328718E+4
2.275000E+1	-2.378673E+3	2.329204E+4
2.300000E+1	-2.599917E+3	2.372218E+4
2.325000E+1	-2.476049E+3	2.438968E+4
2.350000E+1	-1.952255E+3	2.480819E+4
