freq (Hz)	real	complex
0.000000E+0	4.050261E+3	0.000000E+0
2.500000E-1	3.485144E+3	-1.424691E+3
5.000000E-1	2.277700E+3	-2.036493E+3
7.500000E-1	1.245853E+3	-1.888001E+3
1.000000E+0	5.995625E+2	-1.538948E+3
1.250000E+0	5.297129E+1	-1.189404E+3
1.500000E+0	-4.481702E+2	-6.523648E+2
1.750000E+0	-6.553584E+2	4.073532E+1
2.000000E+0	-5.572000E+2	5.618813E+2
2.250000E+0	-4.804696E+2	7.997022E+2
2.500000E+0	-6.047219E+2	1.012664E+3
2.750000E+0	-7.468638E+2	1.398865E+3
3.000000E+0	-7.083386E+2	1.833157E+3
3.250000E+0	-5.577271E+2	2.116893E+3
3.500000E+0	-4.799970E+2	2.251019E+3
3.750000E+0	-5.403551E+2	2.377358E+3
4.000000E+0	-6.659539E+2	2.605113E+3
4.250000E+0	-7.357097E+2	2.940413E+3
4.500000E+0	-6.695237E+2	3.282247E+3
4.750000E+0	-5.207704E+2	3.494812E+3
5.000000E+0	-4.497737E+2	3.567391E+3
5.250000E+0	-5.276569E+2	3.648419E+3
5.500000E+0	-6.442470E+2	3.845322E+3
5.750000E+0	-6.879085E+2	4.091874E+3
6.000000E+0	-6.932013E+2	4.297127E+3
6.250000E+0	-7.189553E+2	4.482542E+3
6.500000E+0	-7.415937E+2	4.671817E+3
6.750000E+0	-7.768724E+2	4.826692E+3
7.000000E+0	-8.994351E+2	5.010414E+3
7.250000E+0	-1.002255E+3	5.375648E+3
7.500000E+0	-8.050299E+2	5.814093E+3
7.750000E+0	-3.281504E+2	5.902473E+3
8.000000E+0	-7.759260E+1	5.477358E+3
8.250000E+0	-4.327669E+2	5.002200E+3
8.500000E+0	-1.089028E+3	5.004052E+3
8.750000E+0	-1.496589E+3	5.365982E+3
9.000000E+0	-1.649696E+3	5.604326E+3
9.250000E+0	-1.967038E+3	5.675339E+3
9.500000E+0	-2.506630E+3	5.988578E+3
9.750000E+0	-2.840422E+3	6.661011E+3
1.000000E+1	-2.745916E+3	7.289572E+3
1.025000E+1	-2.524278E+3	7.564112E+3
1.050000E+1	-2.492189E+3	7.648082E+3
1.075000E+1	-2.583017E+3	7.783933E+3
1.100000E+1	-2.647328E+3	7.918288E+3
1.125000E+1	-2.785171E+3	7.946710E+3
1.150000E+1	-3.122970E+3	8.014459E+3
1.175000E+1	-3.517417E+3	8.304359E+3
1.200000E+1	-3.742051E+3	8.724774E+3
1.225000E+1	-3.814532E+3	9.044862E+3
1.250000E+1	-3.931173E+3	9.215407E+3
1.275000E+1	-4.183537E+3	9.372858E+3
1.300000E+1	-4.504227E+3	9.619109E+3
1.325000E+1	-4.813402E+3	9.947533E+3
1.350000E+1	-5.082283E+3	1.032341E+4
1.375000E+1	-5.296921E+3	1.071716E+4
1.400000E+1	-5.458456E+3	1.108489E+4
1.425000E+1	-5.607918E+3	1.138895E+4
1.450000E+1	-5.808408E+3	1.163613E+4
1.475000E+1	-6.102116E+3	1.188446E+4
1.500000E+1	-6.468125E+3	1.221601E+4
1.525000E+1	-6.811662E+3	1.266400E+4
1.550000E+1	-7.050974E+3	1.315022E+4
1.575000E+1	-7.232336E+3	1.356621E+4
1.600000E+1	-7.468195E+3	1.393084E+4
1.625000E+1	-7.749850E+3	1.435103E+4
1.650000E+1	-7.968521E+3	1.481315E+4
1.675000E+1	-8.143594E+3	1.519218E+4
1.700000E+1	-8.421749E+3	1.550181E+4
1.725000E+1	-8.802498E+3	1.590057E+4
1.750000E+1	-9.127061E+3	1.639105E+4
1.775000E+1	-9.410039E+3	1.680740E+4
1.800000E+1	-9.851075E+3	1.718777E+4
1.825000E+1	-1.040842E+4	1.778918E+4
1.850000E+1	-1.076907E+4	1.859595E+4
1.875000E+1	-1.090993E+4	1.925938E+4
1.900000E+1	-1.120218E+4	1.972685E+4
1.925000E+1	-1.171752E+4	2.039931E+4
1.950000E+1	-1.201061E+4	2.137385E+4
1.975000E+1	-1.194172E+4	2.215805E+4
2.000000E+1	-1.204104E+4	2.255947E+4
2.025000E+1	-1.255108E+4	2.314075E+4
2.050000E+1	-1.286771E+4	2.419156E+4
2.075000E+1	-1.264342E+4	2.504803E+4
2.100000E+1	-1.261682E+4	2.527665E+4
2.125000E+1	-1.334960E+4	2.569185E+4
2.150000E+1	-1.397305E+4	2.703045E+4
2.175000E+1	-1.354145E+4	2.841343E+4
2.200000E+1	-1.289912E+4	2.867800E+4
2.225000E+1	-1.343189E+4	2.861525E+4
2.250000E+1	-1.441417E+4	2.989034E+4
2.275000E+1	-1.378985E+4	3.193846E+4
2.300000E+1	-1.171352E+4	3.225882E+4
2.325000E+1	-1.096056E+4	3.027277E+4
2.350000E+1	-1.300697E+4	2.860508E+4
2.375000E+1	-1.585501E+4	2.944959E+4
2.400000E+1	-1.704962E+4	3.167198E+4
2.425000E+1	-1.697944E+4	3.301235E+4
2.450000E+1	-1.748777E+4	3.343773E+4
2.475000E+1	-1.873244E+4	3.440265E+4
2.500000E+1	-1.950524E+4	3.603463E+4
2.525000E+1	-1.974203E+4	3.722756E+4
2.550000E+1	-2.055242E+4	3.793481E+4
2.575000E+1	-2.206337E+4	3.930809E+4
2.600000E+1	-2.313837E+4	4.164973E+4
2.625000E+1	-2.328677E+4	4.396256E+4
2.650000E+1	-2.326732E+4	4.566192E+4
2.675000E+1	-2.361895E+4	4.726650E+4
2.700000E+1	-2.397425E+4	4.916906E+4
2.725000E+1	-2.410676E+4	5.103020E+4
2.750000E+1	-2.443086E+4	5.273283E+4
2.775000E+1	-2.506021E+4	5.480657E+4
2.800000E+1	-2.539283E+4	5.746094E+4
2.825000E+1	-2.509241E+4	6.011491E+4
2.850000E+1	-2.465105E+4	6.235101E+4
2.875000E+1	-2.450659E+4	6.457401E+4
2.900000E+1	-2.430311E+4	6.722770E+4
2.925000E+1	-2.356270E+4	6.998876E+4
2.950000E+1	-2.255403E+4	7.231785E+4
2.975000E+1	-2.188173E+4	7.438969E+4
3.000000E+1	-2.150723E+4	7.685447E+4
3.025000E+1	-2.078475E+4	7.984446E+4
3.050000E+1	-1.941399E+4	8.279530E+4
3.075000E+1	-1.781605E+4	8.529814E+4
3.100000E+1	-1.642844E+4	8.762738E+4
3.125000E+1	-1.508722E+4	9.020498E+4
3.150000E+1	-1.339741E+4	9.295712E+4
3.175000E+1	-1.134234E+4	9.554678E+4
3.200000E+1	-9.140544E+3	9.790059E+4
3.225000E+1	-6.830587E+3	1.000871E+5
3.250000E+1	-4.452119E+3	1.020121E+5
3.275000E+1	-2.278809E+3	1.037358E+5
3.300000E+1	-3.152465E+2	1.057068E+5
3.325000E+1	2.029024E+3	1.080646E+5
3.350000E+1	5.084853E+3	1.101410E+5
3.375000E+1	8.202599E+3	1.113968E+5
3.400000E+1	1.068134E+4	1.123679E+5
3.425000E+1	1.289103E+4	1.138235E+5
3.450000E+1	1.556109E+4	1.155575E+5
3.475000E+1	1.859140E+4	1.169863E+5
3.500000E+1	2.161928E+4	1.182329E+5
3.525000E+1	2.497296E+4	1.194635E+5
3.550000E+1	2.878518E+4	1.200063E+5
3.575000E+1	3.205703E+4	1.195348E+5
3.600000E+1	3.412441E+4	1.192061E+5
3.625000E+1	3.610726E+4	1.200052E+5
3.650000E+1	3.919155E+4	1.209541E+5
3.675000E+1	4.254284E+4	1.207869E+5
3.700000E+1	4.489660E+4	1.202474E+5
3.725000E+1	4.699039E+4	1.205576E+5
3.750000E+1	5.002225E+4	1.208783E+5
3.775000E+1	5.296954E+4	1.199369E+5
3.800000E+1	5.435148E+4	1.189360E+5
3.825000E+1	5.548333E+4	1.196537E+5
3.850000E+1	5.848726E+4	1.207094E+5
3.875000E+1	6.193805E+4	1.195307E+5
3.900000E+1	6.260743E+4	1.174528E+5
3.925000E+1	6.135689E+4	1.185010E+5
3.950000E+1	6.281936E+4	1.228190E+5
3.975000E+1	6.848378E+4	1.257622E+5
4.000000E+1	7.443149E+4	1.246440E+5
4.025000E+1	7.737405E+4	1.221919E+5
4.050000E+1	7.887567E+4	1.215969E+5
4.075000E+1	8.157870E+4	1.220593E+5
4.100000E+1	8.496909E+4	1.215744E+5
4.125000E+1	8.751254E+4	1.207108E+5
4.150000E+1	8.996661E+4	1.207960E+5
4.175000E+1	9.368618E+4	1.209389E+5
4.200000E+1	9.782996E+4	1.196494E+5
4.225000E+1	1.008457E+5	1.175225E+5
4.250000E+1	1.030045E+5	1.159621E+5
4.275000E+1	1.053387E+5	1.149206E+5
4.300000E+1	1.077885E+5	1.138589E+5
4.325000E+1	1.102724E+5	1.131360E+5
4.350000E+1	1.136973E+5	1.125900E+5
4.375000E+1	1.180265E+5	1.106839E+5
4.400000E+1	1.213018E+5	1.069580E+5
4.425000E+1	1.224582E+5	1.033464E+5
4.450000E+1	1.230336E+5	1.012247E+5
4.475000E+1	1.242337E+5	9.941182E+4
4.500000E+1	1.247920E+5	9.709215E+4
4.525000E+1	1.240107E+5	9.605060E+4
4.550000E+1	1.242013E+5	9.738396E+4
4.575000E+1	1.271470E+5	9.865569E+4
4.600000E+1	1.306960E+5	9.754562E+4
4.625000E+1	1.323450E+5	9.584922E+4
4.650000E+1	1.337807E+5	9.606710E+4
4.675000E+1	1.376496E+5	9.633506E+4
4.700000E+1	1.418469E+5	9.346323E+4
4.725000E+1	1.422019E+5	8.949952E+4
4.750000E+1	1.400352E+5	8.979872E+4
4.775000E+1	1.415530E+5	9.460106E+4
4.800000E+1	1.490751E+5	9.780493E+4
4.825000E+1	1.577969E+5	9.527319E+4
4.850000E+1	1.627875E+5	8.977571E+4
4.875000E+1	1.649152E+5	8.585276E+4
4.900000E+1	1.676555E+5	8.376920E+4
4.925000E+1	1.716180E+5	8.110324E+4
4.950000E+1	1.750707E+5	7.729701E+4
4.975000E+1	1.775369E+5	7.371205E+4
5.000000E+1	1.801280E+5	7.085828E+4
5.025000E+1	1.834802E+5	6.792143E+4
5.050000E+1	1.872199E+5	6.415460E+4
5.075000E+1	1.906628E+5	5.935766E+4
5.100000E+1	1.930489E+5	5.386793E+4
5.125000E+1	1.941298E+5	4.879555E+4
5.150000E+1	1.950614E+5	4.504307E+4
5.175000E+1	1.973096E+5	4.167271E+4
5.200000E+1	2.003291E+5	3.683268E+4
5.225000E+1	2.021086E+5	3.060124E+4
5.250000E+1	2.023189E+5	2.492338E+4
5.275000E+1	2.027221E+5	2.036201E+4
5.300000E+1	2.039676E+5	1.529901E+4
5.325000E+1	2.045119E+5	9.011667E+3
5.350000E+1	2.035387E+5	2.919279E+3
5.375000E+1	2.022515E+5	-2.201366E+3
5.400000E+1	2.011306E+5	-7.447029E+3
5.425000E+1	1.988059E+5	-1.291120E+4
5.450000E+1	1.952768E+5	-1.656340E+4
5.475000E+1	1.932820E+5	-1.794628E+4
5.500000E+1	1.941825E+5	-2.013254E+4
5.525000E+1	1.951449E+5	-2.546843E+4
5.550000E+1	1.931250E+5	-3.183035E+4
5.575000E+1	1.893557E+5	-3.595026E+4
5.600000E+1	1.868940E+5	-3.829768E+4
5.625000E+1	1.857221E+5	-4.148972E+4
5.650000E+1	1.836539E+5	-4.565482E+4
5.675000E+1	1.805831E+5	-4.890115E+4
5.700000E+1	1.782280E+5	-5.118307E+4
5.725000E+1	1.765674E+5	-5.409888E+4
5.750000E+1	1.740889E+5	-5.751689E+4
5.775000E+1	1.711031E+5	-5.992467E+4
5.800000E+1	1.692935E+5	-6.183623E+4
5.825000E+1	1.680529E+5	-6.532540E+4
5.850000E+1	1.647758E+5	-6.998926E+4
5.875000E+1	1.592591E+5	-7.279733E+4
5.900000E+1	1.545511E+5	-7.266978E+4
5.925000E+1	1.525292E+5	-7.214569E+4
5.950000E+1	1.515059E+5	-7.348539E+4
5.975000E+1	1.493387E+5	-7.584063E+4
6.000000E+1	1.463188E+5	-7.751554E+4
6.025000E+1	1.436171E+5	-7.858635E+4
6.050000E+1	1.411164E+5	-7.979348E+4
6.075000E+1	1.383461E+5	-8.084409E+4
6.100000E+1	1.358072E+5	-8.137954E+4
6.125000E+1	1.338629E+5	-8.207792E+4
6.150000E+1	1.317084E+5	-8.337756E+4
6.175000E+1	1.287770E+5	-8.439477E+4
6.200000E+1	1.259615E+5	-8.438225E+4
6.225000E+1	1.242095E+5	-8.412725E+4
6.250000E+1	1.229659E+5	-8.471427E+4
6.275000E+1	1.211526E+5	-8.588585E+4
6.300000E+1	1.187705E+5	-8.672806E+4
6.325000E+1	1.164728E+5	-8.711370E+4
6.350000E+1	1.143617E+5	-8.743837E+4
6.375000E+1	1.122076E+5	-8.767063E+4
6.400000E+1	1.101949E+5	-8.762219E+4
6.425000E+1	1.085559E+5	-8.756946E+4
6.450000E+1	1.069991E+5	-8.779753E+4
6.475000E+1	1.052221E+5	-8.803125E+4
6.500000E+1	1.034963E+5	-8.796680E+4
6.525000E+1	1.021498E+5	-8.787567E+4
6.550000E+1	1.009497E+5	-8.813126E+4
6.575000E+1	9.950105E+4	-8.859533E+4
6.600000E+1	9.782028E+4	-8.891766E+4
6.625000E+1	9.613864E+4	-8.901547E+4
6.650000E+1	9.457398E+4	-8.894914E+4
6.675000E+1	9.324738E+4	-8.878228E+4
6.700000E+1	9.223886E+4	-8.877327E+4
6.725000E+1	9.124807E+4	-8.919729E+4
6.750000E+1	8.982106E+4	-8.982262E+4
6.775000E+1	8.804479E+4	-9.009391E+4
6.800000E+1	8.647805E+4	-8.993843E+4
6.825000E+1	8.531676E+4	-8.983966E+4
6.850000E+1	8.419518E+4	-9.005415E+4
6.875000E+1	8.286441E+4	-9.033837E+4
6.900000E+1	8.147851E+4	-9.050765E+4
6.925000E+1	8.013611E+4	-9.068836E+4
6.950000E+1	7.867677E+4	-9.092574E+4
6.975000E+1	7.702853E+4	-9.100917E+4
7.000000E+1	7.538916E+4	-9.075896E+4
7.025000E+1	7.406089E+4	-9.023027E+4
7.050000E+1	7.326154E+4	-8.975339E+4
7.075000E+1	7.281561E+4	-8.986449E+4
7.100000E+1	7.195498E+4	-9.073164E+4
7.125000E+1	7.006586E+4	-9.154397E+4
7.150000E+1	6.779477E+4	-9.126736E+4
7.175000E+1	6.647341E+4	-9.023836E+4
7.200000E+1	6.613158E+4	-8.993122E+4
7.225000E+1	6.529112E+4	-9.072841E+4
7.250000E+1	6.327145E+4	-9.125487E+4
7.275000E+1	6.126867E+4	-9.061187E+4
7.300000E+1	6.030148E+4	-8.977437E+4
7.325000E+1	5.961908E+4	-8.977369E+4
7.350000E+1	5.828278E+4	-9.004252E+4
7.375000E+1	5.676789E+4	-8.982195E+4
7.400000E+1	5.561794E+4	-8.963934E+4
7.425000E+1	5.408941E+4	-8.988507E+4
7.450000E+1	5.177106E+4	-8.949579E+4
7.475000E+1	5.000666E+4	-8.781927E+4
7.500000E+1	4.983113E+4	-8.629369E+4
7.525000E+1	4.994020E+4	-8.631142E+4
7.550000E+1	4.874754E+4	-8.683462E+4
7.575000E+1	4.704674E+4	-8.626015E+4
7.600000E+1	4.637967E+4	-8.525252E+4
7.625000E+1	4.611687E+4	-8.532580E+4
7.650000E+1	4.470391E+4	-8.587604E+4
7.675000E+1	4.267224E+4	-8.528525E+4
7.700000E+1	4.167007E+4	-8.397903E+4
7.725000E+1	4.136240E+4	-8.359574E+4
7.750000E+1	4.012169E+4	-8.385502E+4
7.775000E+1	3.818111E+4	-8.311011E+4
7.800000E+1	3.722074E+4	-8.151517E+4
7.825000E+1	3.719768E+4	-8.075255E+4
7.850000E+1	3.648124E+4	-8.087863E+4
7.875000E+1	3.497560E+4	-8.034031E+4
7.900000E+1	3.419118E+4	-7.906986E+4
7.925000E+1	3.414305E+4	-7.862132E+4
7.950000E+1	3.313815E+4	-7.900529E+4
7.975000E+1	3.105379E+4	-7.833801E+4
8.000000E+1	2.993048E+4	-7.623917E+4
8.025000E+1	3.051788E+4	-7.477754E+4
8.050000E+1	3.090478E+4	-7.509121E+4
8.075000E+1	2.965956E+4	-7.559820E+4
8.100000E+1	2.794769E+4	-7.475008E+4
8.125000E+1	2.724787E+4	-7.332511E+4
8.150000E+1	2.704744E+4	-7.261163E+4
8.175000E+1	2.626467E+4	-7.221849E+4
8.200000E+1	2.526067E+4	-7.120579E+4
8.225000E+1	2.491000E+4	-6.991298E+4
8.250000E+1	2.493549E+4	-6.917580E+4
8.275000E+1	2.456966E+4	-6.880578E+4
8.300000E+1	2.393323E+4	-6.814404E+4
8.325000E+1	2.356928E+4	-6.729126E+4
8.350000E+1	2.336554E+4	-6.670144E+4
8.375000E+1	2.293093E+4	-6.625209E+4
8.400000E+1	2.238703E+4	-6.561774E+4
8.425000E+1	2.197059E+4	-6.493428E+4
8.450000E+1	2.147901E+4	-6.434548E+4
8.475000E+1	2.081291E+4	-6.352337E+4
8.500000E+1	2.043852E+4	-6.231856E+4
8.525000E+1	2.064412E+4	-6.127458E+4
8.550000E+1	2.091796E+4	-6.084543E+4
8.575000E+1	2.068951E+4	-6.064771E+4
8.600000E+1	2.017389E+4	-6.008296E+4
