freq (Hz)	magnitude
0.000000E+0	9.680795E-1
2.500000E-1	9.698250E-1
5.000000E-1	9.694008E-1
7.500000E-1	9.270534E-1
1.000000E+0	6.809104E-1
1.250000E+0	2.527103E-1
1.500000E+0	3.220880E-2
1.750000E+0	3.817631E-1
2.000000E+0	7.179424E-1
2.250000E+0	7.791608E-1
2.500000E+0	8.334977E-1
2.750000E+0	9.144555E-1
3.000000E+0	9.506396E-1
3.250000E+0	9.412867E-1
3.500000E+0	9.285113E-1
3.750000E+0	9.415436E-1
4.000000E+0	9.599750E-1
4.250000E+0	9.576926E-1
4.500000E+0	9.432174E-1
4.750000E+0	9.417505E-1
5.000000E+0	9.574738E-1
5.250000E+0	9.682960E-1
5.500000E+0	9.663217E-1
5.750000E+0	9.620043E-1
6.000000E+0	9.641636E-1
6.250000E+0	9.666270E-1
6.500000E+0	9.647137E-1
6.750000E+0	9.641022E-1
7.000000E+0	9.691174E-1
7.250000E+0	9.732404E-1
7.500000E+0	9.717163E-1
7.750000E+0	9.694821E-1
8.000000E+0	9.723227E-1
8.250000E+0	9.759914E-1
8.500000E+0	9.757620E-1
8.750000E+0	9.753073E-1
9.000000E+0	9.794811E-1
9.250000E+0	9.837118E-1
9.500000E+0	9.814020E-1
9.750000E+0	9.755207E-1
1.000000E+1	9.736571E-1
1.025000E+1	9.751905E-1
1.050000E+1	9.748712E-1
1.075000E+1	9.726159E-1
1.100000E+1	9.727263E-1
1.125000E+1	9.749172E-1
1.150000E+1	9.753294E-1
1.175000E+1	9.739793E-1
1.200000E+1	9.744541E-1
1.225000E+1	9.763955E-1
1.250000E+1	9.762918E-1
1.275000E+1	9.745300E-1
1.300000E+1	9.752011E-1
1.325000E+1	9.781473E-1
1.350000E+1	9.790589E-1
1.375000E+1	9.767819E-1
1.400000E+1	9.752949E-1
1.425000E+1	9.765665E-1
1.450000E+1	9.778622E-1
1.475000E+1	9.776052E-1
1.500000E+1	9.774140E-1
1.525000E+1	9.777802E-1
1.550000E+1	9.768230E-1
1.575000E+1	9.747904E-1
1.600000E+1	9.747933E-1
1.625000E+1	9.769562E-1
1.650000E+1	9.777475E-1
1.675000E+1	9.762545E-1
1.700000E+1	9.756662E-1
1.725000E+1	9.771938E-1
1.750000E+1	9.777729E-1
1.775000E+1	9.759595E-1
1.800000E+1	9.746179E-1
1.825000E+1	9.754781E-1
1.850000E+1	9.760692E-1
1.875000E+1	9.749350E-1
1.900000E+1	9.747276E-1
1.925000E+1	9.767660E-1
1.950000E+1	9.778099E-1
1.975000E+1	9.756694E-1
2.000000E+1	9.738094E-1
2.025000E+1	9.757714E-1
2.050000E+1	9.788603E-1
2.075000E+1	9.783951E-1
2.100000E+1	9.754260E-1
2.125000E+1	9.746954E-1
2.150000E+1	9.765863E-1
2.175000E+1	9.778972E-1
2.200000E+1	9.775915E-1
2.225000E+1	9.771278E-1
2.250000E+1	9.758417E-1
2.275000E+1	9.723107E-1
2.300000E+1	9.698216E-1
2.325000E+1	9.733709E-1
2.350000E+1	9.810391E-1
2.375000E+1	9.858112E-1
2.400000E+1	9.851489E-1
2.425000E+1	9.841984E-1
2.450000E+1	9.861679E-1
2.475000E+1	9.879766E-1
2.500000E+1	9.873147E-1
2.525000E+1	9.871214E-1
2.550000E+1	9.888746E-1
2.575000E+1	9.894940E-1
2.600000E+1	9.876256E-1
2.625000E+1	9.870904E-1
2.650000E+1	9.897196E-1
2.675000E+1	9.909771E-1
2.700000E+1	9.873737E-1
2.725000E+1	9.828180E-1
2.750000E+1	9.832577E-1
2.775000E+1	9.881400E-1
2.800000E+1	9.914264E-1
2.825000E+1	9.912323E-1
2.850000E+1	9.907821E-1
2.875000E+1	9.919278E-1
2.900000E+1	9.931029E-1
2.925000E+1	9.931149E-1
