freq (Hz)	magnitude
0.000000E+0	9.753609E-1
2.500000E-1	9.700819E-1
5.000000E-1	9.539141E-1
7.500000E-1	9.333107E-1
1.000000E+0	9.301046E-1
1.250000E+0	9.339120E-1
1.500000E+0	8.919989E-1
1.750000E+0	6.928296E-1
2.000000E+0	2.190002E-1
2.250000E+0	3.441986E-1
2.500000E+0	6.931683E-1
2.750000E+0	8.318543E-1
3.000000E+0	8.688972E-1
3.250000E+0	8.462535E-1
3.500000E+0	8.318637E-1
3.750000E+0	8.859903E-1
4.000000E+0	9.173205E-1
4.250000E+0	9.021797E-1
4.500000E+0	8.614531E-1
4.750000E+0	8.621461E-1
5.000000E+0	8.856688E-1
5.250000E+0	9.014045E-1
5.500000E+0	8.969869E-1
5.750000E+0	8.798891E-1
6.000000E+0	8.731658E-1
6.250000E+0	8.857681E-1
6.500000E+0	9.204446E-1
6.750000E+0	9.502299E-1
7.000000E+0	9.556353E-1
7.250000E+0	9.496387E-1
7.500000E+0	9.463317E-1
7.750000E+0	9.506450E-1
8.000000E+0	9.571017E-1
8.250000E+0	9.573227E-1
8.500000E+0	9.416789E-1
8.750000E+0	9.023816E-1
9.000000E+0	8.592085E-1
9.250000E+0	8.610845E-1
9.500000E+0	9.083345E-1
9.750000E+0	9.500989E-1
1.000000E+1	9.638111E-1
1.025000E+1	9.568680E-1
1.050000E+1	9.471889E-1
1.075000E+1	9.475586E-1
1.100000E+1	9.526567E-1
1.125000E+1	9.549642E-1
1.150000E+1	9.543587E-1
1.175000E+1	9.512767E-1
1.200000E+1	9.431629E-1
1.225000E+1	9.316608E-1
1.250000E+1	9.244580E-1
1.275000E+1	9.244726E-1
1.300000E+1	9.241880E-1
1.325000E+1	9.221904E-1
1.350000E+1	9.285953E-1
1.375000E+1	9.439196E-1
1.400000E+1	9.519848E-1
1.425000E+1	9.481520E-1
1.450000E+1	9.467429E-1
1.475000E+1	9.560822E-1
1.500000E+1	9.629824E-1
1.525000E+1	9.562802E-1
1.550000E+1	9.448029E-1
1.575000E+1	9.456073E-1
1.600000E+1	9.530770E-1
1.625000E+1	9.485932E-1
1.650000E+1	9.346921E-1
1.675000E+1	9.345612E-1
1.700000E+1	9.510412E-1
1.725000E+1	9.598099E-1
1.750000E+1	9.481995E-1
1.775000E+1	9.294471E-1
1.800000E+1	9.252240E-1
1.825000E+1	9.357096E-1
1.850000E+1	9.429593E-1
1.875000E+1	9.391615E-1
1.900000E+1	9.309557E-1
1.925000E+1	9.245354E-1
1.950000E+1	9.212526E-1
1.975000E+1	9.204768E-1
2.000000E+1	9.184234E-1
2.025000E+1	9.104422E-1
2.050000E+1	9.000495E-1
2.075000E+1	8.974910E-1
2.100000E+1	9.046634E-1
2.125000E+1	9.122218E-1
2.150000E+1	9.148567E-1
2.175000E+1	9.180427E-1
2.200000E+1	9.223601E-1
2.225000E+1	9.150405E-1
2.250000E+1	8.926501E-1
