freq (Hz)	magnitude
0.000000E+0	9.671590E-1
2.500000E-1	9.673793E-1
5.000000E-1	9.697165E-1
7.500000E-1	9.753262E-1
1.000000E+0	9.579719E-1
1.250000E+0	9.145959E-1
1.500000E+0	8.404589E-1
1.750000E+0	6.300032E-1
2.000000E+0	4.021479E-1
2.250000E+0	3.982264E-1
2.500000E+0	4.870097E-2
2.750000E+0	1.584956E-1
3.000000E+0	5.400572E-1
3.250000E+0	6.608670E-1
3.500000E+0	6.009382E-1
3.750000E+0	7.071634E-1
4.000000E+0	7.555638E-1
4.250000E+0	7.128575E-1
4.500000E+0	6.883698E-1
4.750000E+0	7.879342E-1
5.000000E+0	8.561632E-1
5.250000E+0	8.669683E-1
5.500000E+0	8.504466E-1
5.750000E+0	8.592677E-1
6.000000E+0	8.781192E-1
6.250000E+0	8.813226E-1
6.500000E+0	8.780294E-1
6.750000E+0	8.915726E-1
7.000000E+0	9.059056E-1
7.250000E+0	9.027316E-1
7.500000E+0	8.889167E-1
7.750000E+0	8.923240E-1
8.000000E+0	9.031424E-1
8.250000E+0	9.023867E-1
8.500000E+0	8.907052E-1
8.750000E+0	8.895251E-1
9.000000E+0	8.982529E-1
9.250000E+0	9.022482E-1
9.500000E+0	9.002808E-1
9.750000E+0	9.039451E-1
1.000000E+1	9.116411E-1
1.025000E+1	9.122462E-1
1.050000E+1	9.043478E-1
1.075000E+1	9.030659E-1
1.100000E+1	9.106904E-1
1.125000E+1	9.140077E-1
1.150000E+1	9.075543E-1
1.175000E+1	9.040670E-1
1.200000E+1	9.106774E-1
1.225000E+1	9.173437E-1
1.250000E+1	9.157641E-1
1.275000E+1	9.130344E-1
1.300000E+1	9.177172E-1
1.325000E+1	9.248979E-1
1.350000E+1	9.251404E-1
1.375000E+1	9.204263E-1
1.400000E+1	9.204183E-1
1.425000E+1	9.253878E-1
1.450000E+1	9.279836E-1
1.475000E+1	9.251829E-1
1.500000E+1	9.215729E-1
1.525000E+1	9.201937E-1
1.550000E+1	9.211339E-1
1.575000E+1	9.241771E-1
1.600000E+1	9.275660E-1
1.625000E+1	9.277589E-1
1.650000E+1	9.240785E-1
1.675000E+1	9.222031E-1
1.700000E+1	9.250783E-1
1.725000E+1	9.278153E-1
1.750000E+1	9.267279E-1
1.775000E+1	9.258636E-1
1.800000E+1	9.285496E-1
1.825000E+1	9.297712E-1
1.850000E+1	9.253891E-1
1.875000E+1	9.225076E-1
1.900000E+1	9.278703E-1
1.925000E+1	9.339928E-1
1.950000E+1	9.305410E-1
1.975000E+1	9.198318E-1
2.000000E+1	9.139944E-1
2.025000E+1	9.180375E-1
2.050000E+1	9.244481E-1
2.075000E+1	9.273187E-1
2.100000E+1	9.287426E-1
2.125000E+1	9.307214E-1
2.150000E+1	9.333114E-1
2.175000E+1	9.386873E-1
2.200000E+1	9.451463E-1
2.225000E+1	9.412722E-1
2.250000E+1	9.196786E-1
2.275000E+1	8.968302E-1
2.300000E+1	9.032017E-1
2.325000E+1	9.333128E-1
2.350000E+1	9.454866E-1
2.375000E+1	9.333051E-1
2.400000E+1	9.200989E-1
2.425000E+1	9.236941E-1
2.450000E+1	9.328362E-1
2.475000E+1	9.213274E-1
2.500000E+1	9.110106E-1
2.525000E+1	9.226187E-1
2.550000E+1	9.421690E-1
2.575000E+1	9.438818E-1
2.600000E+1	9.336866E-1
2.625000E+1	9.360155E-1
2.650000E+1	9.448806E-1
2.675000E+1	9.366462E-1
2.700000E+1	9.147372E-1
2.725000E+1	9.099507E-1
2.750000E+1	9.282671E-1
2.775000E+1	9.441788E-1
2.800000E+1	9.469521E-1
2.825000E+1	9.455250E-1
2.850000E+1	9.479755E-1
2.875000E+1	9.499866E-1
2.900000E+1	9.488418E-1
2.925000E+1	9.491759E-1
2.950000E+1	9.523157E-1
2.975000E+1	9.537852E-1
3.000000E+1	9.542838E-1
3.025000E+1	9.586596E-1
3.050000E+1	9.645280E-1
3.075000E+1	9.648559E-1
3.100000E+1	9.624519E-1
3.125000E+1	9.657701E-1
3.150000E+1	9.735714E-1
3.175000E+1	9.759689E-1
3.200000E+1	9.728571E-1
3.225000E+1	9.736965E-1
3.250000E+1	9.805433E-1
3.275000E+1	9.841090E-1
3.300000E+1	9.815417E-1
3.325000E+1	9.809036E-1
3.350000E+1	9.863707E-1
3.375000E+1	9.906336E-1
3.400000E+1	9.894584E-1
3.425000E+1	9.883906E-1
3.450000E+1	9.917664E-1
3.475000E+1	9.949988E-1
3.500000E+1	9.945004E-1
3.525000E+1	9.939513E-1
3.550000E+1	9.963600E-1
